Deaths,CreationDate,Name
1,2020-04-03,Suriname
1,2020-04-04,Suriname
1,2020-04-05,Suriname
1,2020-04-06,Suriname
1,2020-04-07,Suriname
1,2020-04-08,Suriname
1,2020-04-09,Suriname
1,2020-04-10,Suriname
1,2020-04-11,Suriname
1,2020-04-12,Suriname
1,2020-04-13,Suriname
1,2020-04-14,Suriname
1,2020-04-15,Suriname
1,2020-04-16,Suriname
1,2020-04-17,Suriname
1,2020-04-18,Suriname
1,2020-04-19,Suriname
1,2020-04-20,Suriname
1,2020-04-21,Suriname
1,2020-04-22,Suriname
1,2020-04-23,Suriname
1,2020-04-24,Suriname
1,2020-04-25,Suriname
1,2020-04-26,Suriname
1,2020-04-27,Suriname
1,2020-04-28,Suriname
1,2020-04-29,Suriname
1,2020-04-30,Suriname
1,2020-05-01,Suriname
1,2020-05-02,Suriname
1,2020-05-03,Suriname
1,2020-05-04,Suriname
1,2020-05-05,Suriname
1,2020-05-06,Suriname
1,2020-05-07,Suriname
1,2020-05-08,Suriname
1,2020-05-09,Suriname
1,2020-05-10,Suriname
1,2020-05-11,Suriname
1,2020-05-12,Suriname
1,2020-05-13,Suriname
1,2020-05-14,Suriname
1,2020-05-15,Suriname
1,2020-05-16,Suriname
1,2020-05-17,Suriname
1,2020-05-18,Suriname
1,2020-05-19,Suriname
1,2020-05-20,Suriname
1,2020-05-21,Suriname
1,2020-05-22,Suriname
1,2020-05-23,Suriname
1,2020-05-24,Suriname
1,2020-05-25,Suriname
1,2020-05-26,Suriname
1,2020-05-27,Suriname
1,2020-05-28,Suriname
1,2020-05-29,Suriname
1,2020-05-30,Suriname
1,2020-05-31,Suriname
1,2020-06-01,Suriname
1,2020-06-02,Suriname
1,2020-06-03,Suriname
1,2020-06-04,Suriname
1,2020-06-05,Suriname
1,2020-06-06,Suriname
1,2020-06-07,Suriname
2,2020-06-08,Suriname
2,2020-06-09,Suriname
2,2020-06-10,Suriname
2,2020-06-11,Suriname
3,2020-06-12,Suriname
3,2020-06-13,Suriname
3,2020-06-14,Suriname
5,2020-06-15,Suriname
6,2020-06-16,Suriname
6,2020-06-17,Suriname
7,2020-06-18,Suriname
