Deaths,CreationDate,Name
1,2020-03-10,Sweden
1,2020-03-11,Sweden
2,2020-03-12,Sweden
3,2020-03-13,Sweden
5,2020-03-14,Sweden
7,2020-03-15,Sweden
8,2020-03-16,Sweden
14,2020-03-17,Sweden
21,2020-03-18,Sweden
30,2020-03-19,Sweden
38,2020-03-20,Sweden
49,2020-03-21,Sweden
60,2020-03-22,Sweden
81,2020-03-23,Sweden
103,2020-03-24,Sweden
134,2020-03-25,Sweden
166,2020-03-26,Sweden
201,2020-03-27,Sweden
239,2020-03-28,Sweden
284,2020-03-29,Sweden
332,2020-03-30,Sweden
385,2020-03-31,Sweden
455,2020-04-01,Sweden
535,2020-04-02,Sweden
605,2020-04-03,Sweden
373,2020-04-04,Sweden
401,2020-04-05,Sweden
477,2020-04-06,Sweden
591,2020-04-07,Sweden
687,2020-04-08,Sweden
793,2020-04-09,Sweden
870,2020-04-10,Sweden
887,2020-04-11,Sweden
899,2020-04-12,Sweden
919,2020-04-13,Sweden
1033,2020-04-14,Sweden
1203,2020-04-15,Sweden
1333,2020-04-16,Sweden
1400,2020-04-17,Sweden
1511,2020-04-18,Sweden
1540,2020-04-19,Sweden
1580,2020-04-20,Sweden
1765,2020-04-21,Sweden
1937,2020-04-22,Sweden
2021,2020-04-23,Sweden
2152,2020-04-24,Sweden
2192,2020-04-25,Sweden
2194,2020-04-26,Sweden
2274,2020-04-27,Sweden
2355,2020-04-28,Sweden
2462,2020-04-29,Sweden
2586,2020-04-30,Sweden
2653,2020-05-01,Sweden
2669,2020-05-02,Sweden
2679,2020-05-03,Sweden
2769,2020-05-04,Sweden
2854,2020-05-05,Sweden
2941,2020-05-06,Sweden
3040,2020-05-07,Sweden
3175,2020-05-08,Sweden
3220,2020-05-09,Sweden
3225,2020-05-10,Sweden
3256,2020-05-11,Sweden
3313,2020-05-12,Sweden
3460,2020-05-13,Sweden
3529,2020-05-14,Sweden
3646,2020-05-15,Sweden
3674,2020-05-16,Sweden
3679,2020-05-17,Sweden
3698,2020-05-18,Sweden
3743,2020-05-19,Sweden
3831,2020-05-20,Sweden
3871,2020-05-21,Sweden
3925,2020-05-22,Sweden
3992,2020-05-23,Sweden
3998,2020-05-24,Sweden
4029,2020-05-25,Sweden
4125,2020-05-26,Sweden
4220,2020-05-27,Sweden
4266,2020-05-28,Sweden
4350,2020-05-29,Sweden
4395,2020-05-30,Sweden
4395,2020-05-31,Sweden
4403,2020-06-01,Sweden
4468,2020-06-02,Sweden
4542,2020-06-03,Sweden
4562,2020-06-04,Sweden
4639,2020-06-05,Sweden
4656,2020-06-06,Sweden
4659,2020-06-07,Sweden
4694,2020-06-08,Sweden
4717,2020-06-09,Sweden
4795,2020-06-10,Sweden
4814,2020-06-11,Sweden
4854,2020-06-12,Sweden
4874,2020-06-13,Sweden
4874,2020-06-14,Sweden
4891,2020-06-15,Sweden
4939,2020-06-16,Sweden
5041,2020-06-17,Sweden
5053,2020-06-18,Sweden
5053,2020-06-19,Sweden
5053,2020-06-20,Sweden
5053,2020-06-21,Sweden
5053,2020-06-22,Sweden
5161,2020-06-23,Sweden
5209,2020-06-24,Sweden
5230,2020-06-25,Sweden
5280,2020-06-26,Sweden
5280,2020-06-27,Sweden
5280,2020-06-28,Sweden
5280,2020-06-29,Sweden
5333,2020-06-30,Sweden
5370,2020-07-01,Sweden
5411,2020-07-02,Sweden
5420,2020-07-03,Sweden
5420,2020-07-04,Sweden
5420,2020-07-05,Sweden
5420,2020-07-06,Sweden
5447,2020-07-07,Sweden
5482,2020-07-08,Sweden
5500,2020-07-09,Sweden
5526,2020-07-10,Sweden
5526,2020-07-11,Sweden
5526,2020-07-12,Sweden
5526,2020-07-13,Sweden
5545,2020-07-14,Sweden
5572,2020-07-15,Sweden
5593,2020-07-16,Sweden
5619,2020-07-17,Sweden
5619,2020-07-18,Sweden
5619,2020-07-19,Sweden
5619,2020-07-20,Sweden
5646,2020-07-21,Sweden
5667,2020-07-22,Sweden
5676,2020-07-23,Sweden
5697,2020-07-24,Sweden
5697,2020-07-25,Sweden
5697,2020-07-26,Sweden
5697,2020-07-27,Sweden
5702,2020-07-28,Sweden
5730,2020-07-29,Sweden
5739,2020-07-30,Sweden
5743,2020-07-31,Sweden
5743,2020-08-01,Sweden
5743,2020-08-02,Sweden
5743,2020-08-03,Sweden
5747,2020-08-04,Sweden
5760,2020-08-05,Sweden
5766,2020-08-06,Sweden
5763,2020-08-07,Sweden
5763,2020-08-08,Sweden
5763,2020-08-09,Sweden
5763,2020-08-10,Sweden
5770,2020-08-11,Sweden
5774,2020-08-12,Sweden
5776,2020-08-13,Sweden
5783,2020-08-14,Sweden
5783,2020-08-15,Sweden
5783,2020-08-16,Sweden
5783,2020-08-17,Sweden
5790,2020-08-18,Sweden
5802,2020-08-19,Sweden
5805,2020-08-20,Sweden
5810,2020-08-21,Sweden
5810,2020-08-22,Sweden
5810,2020-08-23,Sweden
5810,2020-08-24,Sweden
5814,2020-08-25,Sweden
5817,2020-08-26,Sweden
5820,2020-08-27,Sweden
5821,2020-08-28,Sweden
5821,2020-08-29,Sweden
5821,2020-08-30,Sweden
5821,2020-08-31,Sweden
5813,2020-09-01,Sweden
5820,2020-09-02,Sweden
5832,2020-09-03,Sweden
5835,2020-09-04,Sweden
5835,2020-09-05,Sweden
5835,2020-09-06,Sweden
5835,2020-09-07,Sweden
5838,2020-09-08,Sweden
5842,2020-09-09,Sweden
5843,2020-09-10,Sweden
5846,2020-09-11,Sweden
5846,2020-09-12,Sweden
5846,2020-09-13,Sweden
5846,2020-09-14,Sweden
5846,2020-09-15,Sweden
5860,2020-09-16,Sweden
5864,2020-09-17,Sweden
5865,2020-09-18,Sweden
5865,2020-09-19,Sweden
5865,2020-09-20,Sweden
5865,2020-09-21,Sweden
5865,2020-09-22,Sweden
5876,2020-09-23,Sweden
