Deaths,CreationDate,Name
1,2020-03-05,Switzerland
1,2020-03-06,Switzerland
1,2020-03-07,Switzerland
2,2020-03-08,Switzerland
2,2020-03-09,Switzerland
3,2020-03-10,Switzerland
4,2020-03-11,Switzerland
4,2020-03-12,Switzerland
11,2020-03-13,Switzerland
13,2020-03-14,Switzerland
14,2020-03-15,Switzerland
14,2020-03-16,Switzerland
27,2020-03-17,Switzerland
28,2020-03-18,Switzerland
41,2020-03-19,Switzerland
54,2020-03-20,Switzerland
75,2020-03-21,Switzerland
98,2020-03-22,Switzerland
120,2020-03-23,Switzerland
122,2020-03-24,Switzerland
153,2020-03-25,Switzerland
191,2020-03-26,Switzerland
231,2020-03-27,Switzerland
264,2020-03-28,Switzerland
300,2020-03-29,Switzerland
359,2020-03-30,Switzerland
433,2020-03-31,Switzerland
488,2020-04-01,Switzerland
536,2020-04-02,Switzerland
591,2020-04-03,Switzerland
666,2020-04-04,Switzerland
715,2020-04-05,Switzerland
765,2020-04-06,Switzerland
821,2020-04-07,Switzerland
895,2020-04-08,Switzerland
948,2020-04-09,Switzerland
1002,2020-04-10,Switzerland
1036,2020-04-11,Switzerland
1106,2020-04-12,Switzerland
1138,2020-04-13,Switzerland
1174,2020-04-14,Switzerland
1239,2020-04-15,Switzerland
1281,2020-04-16,Switzerland
1327,2020-04-17,Switzerland
1368,2020-04-18,Switzerland
1393,2020-04-19,Switzerland
1429,2020-04-20,Switzerland
1478,2020-04-21,Switzerland
1509,2020-04-22,Switzerland
1549,2020-04-23,Switzerland
1589,2020-04-24,Switzerland
1599,2020-04-25,Switzerland
1610,2020-04-26,Switzerland
1665,2020-04-27,Switzerland
1699,2020-04-28,Switzerland
1716,2020-04-29,Switzerland
1737,2020-04-30,Switzerland
1754,2020-05-01,Switzerland
1762,2020-05-02,Switzerland
1762,2020-05-03,Switzerland
1784,2020-05-04,Switzerland
1795,2020-05-05,Switzerland
1805,2020-05-06,Switzerland
1810,2020-05-07,Switzerland
1823,2020-05-08,Switzerland
1830,2020-05-09,Switzerland
1833,2020-05-10,Switzerland
1845,2020-05-11,Switzerland
1867,2020-05-12,Switzerland
1870,2020-05-13,Switzerland
1872,2020-05-14,Switzerland
1878,2020-05-15,Switzerland
1879,2020-05-16,Switzerland
1881,2020-05-17,Switzerland
1886,2020-05-18,Switzerland
1891,2020-05-19,Switzerland
1892,2020-05-20,Switzerland
1898,2020-05-21,Switzerland
1903,2020-05-22,Switzerland
1905,2020-05-23,Switzerland
1906,2020-05-24,Switzerland
1913,2020-05-25,Switzerland
1915,2020-05-26,Switzerland
1917,2020-05-27,Switzerland
1919,2020-05-28,Switzerland
