Deaths,CreationDate,Name
1,2020-03-29,Syrian Arab Republic
2,2020-03-30,Syrian Arab Republic
2,2020-03-31,Syrian Arab Republic
2,2020-04-01,Syrian Arab Republic
2,2020-04-02,Syrian Arab Republic
2,2020-04-03,Syrian Arab Republic
2,2020-04-04,Syrian Arab Republic
2,2020-04-05,Syrian Arab Republic
2,2020-04-06,Syrian Arab Republic
2,2020-04-07,Syrian Arab Republic
2,2020-04-08,Syrian Arab Republic
2,2020-04-09,Syrian Arab Republic
2,2020-04-10,Syrian Arab Republic
2,2020-04-11,Syrian Arab Republic
2,2020-04-12,Syrian Arab Republic
2,2020-04-13,Syrian Arab Republic
2,2020-04-14,Syrian Arab Republic
2,2020-04-15,Syrian Arab Republic
2,2020-04-16,Syrian Arab Republic
2,2020-04-17,Syrian Arab Republic
2,2020-04-18,Syrian Arab Republic
3,2020-04-19,Syrian Arab Republic
3,2020-04-20,Syrian Arab Republic
3,2020-04-21,Syrian Arab Republic
3,2020-04-22,Syrian Arab Republic
3,2020-04-23,Syrian Arab Republic
3,2020-04-24,Syrian Arab Republic
3,2020-04-25,Syrian Arab Republic
3,2020-04-26,Syrian Arab Republic
3,2020-04-27,Syrian Arab Republic
3,2020-04-28,Syrian Arab Republic
3,2020-04-29,Syrian Arab Republic
3,2020-04-30,Syrian Arab Republic
3,2020-05-01,Syrian Arab Republic
3,2020-05-02,Syrian Arab Republic
3,2020-05-03,Syrian Arab Republic
3,2020-05-04,Syrian Arab Republic
3,2020-05-05,Syrian Arab Republic
3,2020-05-06,Syrian Arab Republic
3,2020-05-07,Syrian Arab Republic
3,2020-05-08,Syrian Arab Republic
3,2020-05-09,Syrian Arab Republic
3,2020-05-10,Syrian Arab Republic
3,2020-05-11,Syrian Arab Republic
3,2020-05-12,Syrian Arab Republic
3,2020-05-13,Syrian Arab Republic
3,2020-05-14,Syrian Arab Republic
3,2020-05-15,Syrian Arab Republic
3,2020-05-16,Syrian Arab Republic
3,2020-05-17,Syrian Arab Republic
3,2020-05-18,Syrian Arab Republic
3,2020-05-19,Syrian Arab Republic
3,2020-05-20,Syrian Arab Republic
3,2020-05-21,Syrian Arab Republic
4,2020-05-22,Syrian Arab Republic
4,2020-05-23,Syrian Arab Republic
4,2020-05-24,Syrian Arab Republic
4,2020-05-25,Syrian Arab Republic
4,2020-05-26,Syrian Arab Republic
4,2020-05-27,Syrian Arab Republic
4,2020-05-28,Syrian Arab Republic
4,2020-05-29,Syrian Arab Republic
4,2020-05-30,Syrian Arab Republic
5,2020-05-31,Syrian Arab Republic
5,2020-06-01,Syrian Arab Republic
6,2020-06-02,Syrian Arab Republic
6,2020-06-03,Syrian Arab Republic
6,2020-06-04,Syrian Arab Republic
6,2020-06-05,Syrian Arab Republic
6,2020-06-06,Syrian Arab Republic
6,2020-06-07,Syrian Arab Republic
6,2020-06-08,Syrian Arab Republic
6,2020-06-09,Syrian Arab Republic
6,2020-06-10,Syrian Arab Republic
6,2020-06-11,Syrian Arab Republic
6,2020-06-12,Syrian Arab Republic
6,2020-06-13,Syrian Arab Republic
6,2020-06-14,Syrian Arab Republic
6,2020-06-15,Syrian Arab Republic
6,2020-06-16,Syrian Arab Republic
7,2020-06-17,Syrian Arab Republic
7,2020-06-18,Syrian Arab Republic
7,2020-06-19,Syrian Arab Republic
7,2020-06-20,Syrian Arab Republic
7,2020-06-21,Syrian Arab Republic
7,2020-06-22,Syrian Arab Republic
7,2020-06-23,Syrian Arab Republic
7,2020-06-24,Syrian Arab Republic
7,2020-06-25,Syrian Arab Republic
8,2020-06-26,Syrian Arab Republic
9,2020-06-27,Syrian Arab Republic
9,2020-06-28,Syrian Arab Republic
9,2020-06-29,Syrian Arab Republic
9,2020-06-30,Syrian Arab Republic
9,2020-07-01,Syrian Arab Republic
9,2020-07-02,Syrian Arab Republic
10,2020-07-03,Syrian Arab Republic
10,2020-07-04,Syrian Arab Republic
13,2020-07-05,Syrian Arab Republic
14,2020-07-06,Syrian Arab Republic
14,2020-07-07,Syrian Arab Republic
14,2020-07-08,Syrian Arab Republic
14,2020-07-09,Syrian Arab Republic
16,2020-07-10,Syrian Arab Republic
16,2020-07-11,Syrian Arab Republic
16,2020-07-12,Syrian Arab Republic
19,2020-07-13,Syrian Arab Republic
21,2020-07-14,Syrian Arab Republic
22,2020-07-15,Syrian Arab Republic
22,2020-07-16,Syrian Arab Republic
25,2020-07-17,Syrian Arab Republic
25,2020-07-18,Syrian Arab Republic
25,2020-07-19,Syrian Arab Republic
29,2020-07-20,Syrian Arab Republic
31,2020-07-21,Syrian Arab Republic
32,2020-07-22,Syrian Arab Republic
35,2020-07-23,Syrian Arab Republic
35,2020-07-24,Syrian Arab Republic
36,2020-07-25,Syrian Arab Republic
38,2020-07-26,Syrian Arab Republic
40,2020-07-27,Syrian Arab Republic
40,2020-07-28,Syrian Arab Republic
40,2020-07-29,Syrian Arab Republic
41,2020-07-30,Syrian Arab Republic
43,2020-07-31,Syrian Arab Republic
43,2020-08-01,Syrian Arab Republic
44,2020-08-02,Syrian Arab Republic
46,2020-08-03,Syrian Arab Republic
46,2020-08-04,Syrian Arab Republic
48,2020-08-05,Syrian Arab Republic
48,2020-08-06,Syrian Arab Republic
48,2020-08-07,Syrian Arab Republic
50,2020-08-08,Syrian Arab Republic
52,2020-08-09,Syrian Arab Republic
52,2020-08-10,Syrian Arab Republic
53,2020-08-11,Syrian Arab Republic
53,2020-08-12,Syrian Arab Republic
55,2020-08-13,Syrian Arab Republic
58,2020-08-14,Syrian Arab Republic
60,2020-08-15,Syrian Arab Republic
64,2020-08-16,Syrian Arab Republic
68,2020-08-17,Syrian Arab Republic
73,2020-08-18,Syrian Arab Republic
78,2020-08-19,Syrian Arab Republic
82,2020-08-20,Syrian Arab Republic
83,2020-08-21,Syrian Arab Republic
85,2020-08-22,Syrian Arab Republic
89,2020-08-23,Syrian Arab Republic
92,2020-08-24,Syrian Arab Republic
95,2020-08-25,Syrian Arab Republic
98,2020-08-26,Syrian Arab Republic
100,2020-08-27,Syrian Arab Republic
103,2020-08-28,Syrian Arab Republic
106,2020-08-29,Syrian Arab Republic
109,2020-08-30,Syrian Arab Republic
112,2020-08-31,Syrian Arab Republic
116,2020-09-01,Syrian Arab Republic
120,2020-09-02,Syrian Arab Republic
124,2020-09-03,Syrian Arab Republic
127,2020-09-04,Syrian Arab Republic
130,2020-09-05,Syrian Arab Republic
134,2020-09-06,Syrian Arab Republic
137,2020-09-07,Syrian Arab Republic
140,2020-09-08,Syrian Arab Republic
143,2020-09-09,Syrian Arab Republic
147,2020-09-10,Syrian Arab Republic
150,2020-09-11,Syrian Arab Republic
152,2020-09-12,Syrian Arab Republic
155,2020-09-13,Syrian Arab Republic
157,2020-09-14,Syrian Arab Republic
160,2020-09-15,Syrian Arab Republic
163,2020-09-16,Syrian Arab Republic
165,2020-09-17,Syrian Arab Republic
168,2020-09-18,Syrian Arab Republic
170,2020-09-19,Syrian Arab Republic
172,2020-09-20,Syrian Arab Republic
175,2020-09-21,Syrian Arab Republic
178,2020-09-22,Syrian Arab Republic
181,2020-09-23,Syrian Arab Republic
183,2020-09-24,Syrian Arab Republic
185,2020-09-25,Syrian Arab Republic
188,2020-09-26,Syrian Arab Republic
192,2020-09-27,Syrian Arab Republic
194,2020-09-28,Syrian Arab Republic
197,2020-09-29,Syrian Arab Republic
200,2020-09-30,Syrian Arab Republic
202,2020-10-01,Syrian Arab Republic
203,2020-10-02,Syrian Arab Republic
204,2020-10-03,Syrian Arab Republic
205,2020-10-04,Syrian Arab Republic
207,2020-10-05,Syrian Arab Republic
209,2020-10-06,Syrian Arab Republic
212,2020-10-07,Syrian Arab Republic
215,2020-10-08,Syrian Arab Republic
218,2020-10-09,Syrian Arab Republic
221,2020-10-10,Syrian Arab Republic
224,2020-10-11,Syrian Arab Republic
228,2020-10-12,Syrian Arab Republic
231,2020-10-13,Syrian Arab Republic
234,2020-10-14,Syrian Arab Republic
238,2020-10-15,Syrian Arab Republic
241,2020-10-16,Syrian Arab Republic
245,2020-10-17,Syrian Arab Republic
248,2020-10-18,Syrian Arab Republic
251,2020-10-19,Syrian Arab Republic
254,2020-10-20,Syrian Arab Republic
257,2020-10-21,Syrian Arab Republic
260,2020-10-22,Syrian Arab Republic
264,2020-10-23,Syrian Arab Republic
267,2020-10-24,Syrian Arab Republic
269,2020-10-25,Syrian Arab Republic
272,2020-10-26,Syrian Arab Republic
275,2020-10-27,Syrian Arab Republic
278,2020-10-28,Syrian Arab Republic
281,2020-10-29,Syrian Arab Republic
285,2020-10-30,Syrian Arab Republic
288,2020-10-31,Syrian Arab Republic
292,2020-11-01,Syrian Arab Republic
295,2020-11-02,Syrian Arab Republic
298,2020-11-03,Syrian Arab Republic
301,2020-11-04,Syrian Arab Republic
305,2020-11-05,Syrian Arab Republic
309,2020-11-06,Syrian Arab Republic
313,2020-11-07,Syrian Arab Republic
317,2020-11-08,Syrian Arab Republic
321,2020-11-09,Syrian Arab Republic
325,2020-11-10,Syrian Arab Republic
329,2020-11-11,Syrian Arab Republic
333,2020-11-12,Syrian Arab Republic
337,2020-11-13,Syrian Arab Republic
341,2020-11-14,Syrian Arab Republic
345,2020-11-15,Syrian Arab Republic
350,2020-11-16,Syrian Arab Republic
354,2020-11-17,Syrian Arab Republic
358,2020-11-18,Syrian Arab Republic
363,2020-11-19,Syrian Arab Republic
368,2020-11-20,Syrian Arab Republic
372,2020-11-21,Syrian Arab Republic
376,2020-11-22,Syrian Arab Republic
380,2020-11-23,Syrian Arab Republic
385,2020-11-24,Syrian Arab Republic
