Deaths,CreationDate,Name
1,2020-02-16,Taiwan
1,2020-02-17,Taiwan
1,2020-02-18,Taiwan
1,2020-02-19,Taiwan
1,2020-02-20,Taiwan
1,2020-02-21,Taiwan
1,2020-02-22,Taiwan
1,2020-02-23,Taiwan
1,2020-02-24,Taiwan
1,2020-02-25,Taiwan
1,2020-02-26,Taiwan
1,2020-02-27,Taiwan
1,2020-02-28,Taiwan
1,2020-02-29,Taiwan
1,2020-03-01,Taiwan
1,2020-03-02,Taiwan
1,2020-03-03,Taiwan
1,2020-03-04,Taiwan
1,2020-03-05,Taiwan
1,2020-03-06,Taiwan
1,2020-03-07,Taiwan
1,2020-03-08,Taiwan
1,2020-03-09,Taiwan
1,2020-03-10,Taiwan
1,2020-03-11,Taiwan
1,2020-03-12,Taiwan
1,2020-03-13,Taiwan
1,2020-03-14,Taiwan
1,2020-03-15,Taiwan
1,2020-03-16,Taiwan
1,2020-03-17,Taiwan
1,2020-03-18,Taiwan
1,2020-03-19,Taiwan
2,2020-03-20,Taiwan
2,2020-03-21,Taiwan
2,2020-03-22,Taiwan
2,2020-03-23,Taiwan
2,2020-03-24,Taiwan
2,2020-03-25,Taiwan
2,2020-03-26,Taiwan
2,2020-03-27,Taiwan
2,2020-03-28,Taiwan
2,2020-03-29,Taiwan
5,2020-03-30,Taiwan
5,2020-03-31,Taiwan
5,2020-04-01,Taiwan
5,2020-04-02,Taiwan
5,2020-04-03,Taiwan
5,2020-04-04,Taiwan
5,2020-04-05,Taiwan
5,2020-04-06,Taiwan
5,2020-04-07,Taiwan
5,2020-04-08,Taiwan
5,2020-04-09,Taiwan
6,2020-04-10,Taiwan
6,2020-04-11,Taiwan
6,2020-04-12,Taiwan
6,2020-04-13,Taiwan
6,2020-04-14,Taiwan
6,2020-04-15,Taiwan
6,2020-04-16,Taiwan
6,2020-04-17,Taiwan
6,2020-04-18,Taiwan
6,2020-04-19,Taiwan
6,2020-04-20,Taiwan
6,2020-04-21,Taiwan
6,2020-04-22,Taiwan
6,2020-04-23,Taiwan
6,2020-04-24,Taiwan
6,2020-04-25,Taiwan
6,2020-04-26,Taiwan
6,2020-04-27,Taiwan
6,2020-04-28,Taiwan
6,2020-04-29,Taiwan
6,2020-04-30,Taiwan
6,2020-05-01,Taiwan
6,2020-05-02,Taiwan
6,2020-05-03,Taiwan
6,2020-05-04,Taiwan
6,2020-05-05,Taiwan
6,2020-05-06,Taiwan
6,2020-05-07,Taiwan
6,2020-05-08,Taiwan
6,2020-05-09,Taiwan
6,2020-05-10,Taiwan
7,2020-05-11,Taiwan
7,2020-05-12,Taiwan
7,2020-05-13,Taiwan
7,2020-05-14,Taiwan
7,2020-05-15,Taiwan
7,2020-05-16,Taiwan
7,2020-05-17,Taiwan
7,2020-05-18,Taiwan
7,2020-05-19,Taiwan
7,2020-05-20,Taiwan
