Deaths,CreationDate,Name
2,2020-05-02,Tajikistan
2,2020-05-03,Tajikistan
3,2020-05-04,Tajikistan
5,2020-05-05,Tajikistan
8,2020-05-06,Tajikistan
12,2020-05-07,Tajikistan
12,2020-05-08,Tajikistan
20,2020-05-09,Tajikistan
20,2020-05-10,Tajikistan
21,2020-05-11,Tajikistan
21,2020-05-12,Tajikistan
23,2020-05-13,Tajikistan
29,2020-05-14,Tajikistan
33,2020-05-15,Tajikistan
36,2020-05-16,Tajikistan
39,2020-05-17,Tajikistan
41,2020-05-18,Tajikistan
41,2020-05-19,Tajikistan
41,2020-05-20,Tajikistan
44,2020-05-21,Tajikistan
44,2020-05-22,Tajikistan
44,2020-05-23,Tajikistan
46,2020-05-24,Tajikistan
46,2020-05-25,Tajikistan
47,2020-05-26,Tajikistan
47,2020-05-27,Tajikistan
47,2020-05-28,Tajikistan
47,2020-05-29,Tajikistan
47,2020-05-30,Tajikistan
47,2020-05-31,Tajikistan
47,2020-06-01,Tajikistan
47,2020-06-02,Tajikistan
48,2020-06-03,Tajikistan
48,2020-06-04,Tajikistan
48,2020-06-05,Tajikistan
48,2020-06-06,Tajikistan
48,2020-06-07,Tajikistan
48,2020-06-08,Tajikistan
48,2020-06-09,Tajikistan
48,2020-06-10,Tajikistan
49,2020-06-11,Tajikistan
49,2020-06-12,Tajikistan
50,2020-06-13,Tajikistan
50,2020-06-14,Tajikistan
50,2020-06-15,Tajikistan
50,2020-06-16,Tajikistan
51,2020-06-17,Tajikistan
51,2020-06-18,Tajikistan
51,2020-06-19,Tajikistan
52,2020-06-20,Tajikistan
52,2020-06-21,Tajikistan
52,2020-06-22,Tajikistan
52,2020-06-23,Tajikistan
52,2020-06-24,Tajikistan
52,2020-06-25,Tajikistan
52,2020-06-26,Tajikistan
52,2020-06-27,Tajikistan
52,2020-06-28,Tajikistan
52,2020-06-29,Tajikistan
52,2020-06-30,Tajikistan
52,2020-07-01,Tajikistan
52,2020-07-02,Tajikistan
52,2020-07-03,Tajikistan
52,2020-07-04,Tajikistan
53,2020-07-05,Tajikistan
53,2020-07-06,Tajikistan
53,2020-07-07,Tajikistan
54,2020-07-08,Tajikistan
54,2020-07-09,Tajikistan
55,2020-07-10,Tajikistan
55,2020-07-11,Tajikistan
55,2020-07-12,Tajikistan
55,2020-07-13,Tajikistan
56,2020-07-14,Tajikistan
56,2020-07-15,Tajikistan
56,2020-07-16,Tajikistan
56,2020-07-17,Tajikistan
