Deaths,CreationDate,Name
1,2020-03-01,Thailand
1,2020-03-02,Thailand
1,2020-03-03,Thailand
1,2020-03-04,Thailand
1,2020-03-05,Thailand
1,2020-03-06,Thailand
1,2020-03-07,Thailand
1,2020-03-08,Thailand
1,2020-03-09,Thailand
1,2020-03-10,Thailand
1,2020-03-11,Thailand
1,2020-03-12,Thailand
1,2020-03-13,Thailand
1,2020-03-14,Thailand
1,2020-03-15,Thailand
1,2020-03-16,Thailand
1,2020-03-17,Thailand
1,2020-03-18,Thailand
1,2020-03-19,Thailand
1,2020-03-20,Thailand
1,2020-03-21,Thailand
1,2020-03-22,Thailand
1,2020-03-23,Thailand
4,2020-03-24,Thailand
4,2020-03-25,Thailand
4,2020-03-26,Thailand
5,2020-03-27,Thailand
6,2020-03-28,Thailand
7,2020-03-29,Thailand
9,2020-03-30,Thailand
10,2020-03-31,Thailand
12,2020-04-01,Thailand
15,2020-04-02,Thailand
19,2020-04-03,Thailand
20,2020-04-04,Thailand
23,2020-04-05,Thailand
26,2020-04-06,Thailand
27,2020-04-07,Thailand
30,2020-04-08,Thailand
32,2020-04-09,Thailand
33,2020-04-10,Thailand
35,2020-04-11,Thailand
38,2020-04-12,Thailand
40,2020-04-13,Thailand
41,2020-04-14,Thailand
43,2020-04-15,Thailand
46,2020-04-16,Thailand
47,2020-04-17,Thailand
47,2020-04-18,Thailand
47,2020-04-19,Thailand
47,2020-04-20,Thailand
48,2020-04-21,Thailand
49,2020-04-22,Thailand
50,2020-04-23,Thailand
50,2020-04-24,Thailand
51,2020-04-25,Thailand
51,2020-04-26,Thailand
52,2020-04-27,Thailand
54,2020-04-28,Thailand
54,2020-04-29,Thailand
54,2020-04-30,Thailand
54,2020-05-01,Thailand
54,2020-05-02,Thailand
54,2020-05-03,Thailand
54,2020-05-04,Thailand
54,2020-05-05,Thailand
55,2020-05-06,Thailand
55,2020-05-07,Thailand
55,2020-05-08,Thailand
56,2020-05-09,Thailand
56,2020-05-10,Thailand
56,2020-05-11,Thailand
56,2020-05-12,Thailand
56,2020-05-13,Thailand
56,2020-05-14,Thailand
56,2020-05-15,Thailand
56,2020-05-16,Thailand
56,2020-05-17,Thailand
56,2020-05-18,Thailand
56,2020-05-19,Thailand
56,2020-05-20,Thailand
56,2020-05-21,Thailand
56,2020-05-22,Thailand
56,2020-05-23,Thailand
