Deaths,CreationDate,Name
2,2020-04-02,The Congo
2,2020-04-03,The Congo
2,2020-04-04,The Congo
5,2020-04-05,The Congo
5,2020-04-06,The Congo
5,2020-04-07,The Congo
5,2020-04-08,The Congo
5,2020-04-09,The Congo
5,2020-04-10,The Congo
5,2020-04-11,The Congo
5,2020-04-12,The Congo
5,2020-04-13,The Congo
5,2020-04-14,The Congo
5,2020-04-15,The Congo
5,2020-04-16,The Congo
6,2020-04-17,The Congo
6,2020-04-18,The Congo
6,2020-04-19,The Congo
6,2020-04-20,The Congo
6,2020-04-21,The Congo
6,2020-04-22,The Congo
6,2020-04-23,The Congo
6,2020-04-24,The Congo
6,2020-04-25,The Congo
6,2020-04-26,The Congo
6,2020-04-27,The Congo
8,2020-04-28,The Congo
8,2020-04-29,The Congo
9,2020-04-30,The Congo
9,2020-05-01,The Congo
9,2020-05-02,The Congo
9,2020-05-03,The Congo
10,2020-05-04,The Congo
10,2020-05-05,The Congo
10,2020-05-06,The Congo
10,2020-05-07,The Congo
10,2020-05-08,The Congo
10,2020-05-09,The Congo
10,2020-05-10,The Congo
11,2020-05-11,The Congo
11,2020-05-12,The Congo
11,2020-05-13,The Congo
15,2020-05-14,The Congo
15,2020-05-15,The Congo
15,2020-05-16,The Congo
15,2020-05-17,The Congo
15,2020-05-18,The Congo
15,2020-05-19,The Congo
15,2020-05-20,The Congo
16,2020-05-21,The Congo
16,2020-05-22,The Congo
16,2020-05-23,The Congo
16,2020-05-24,The Congo
16,2020-05-25,The Congo
16,2020-05-26,The Congo
19,2020-05-27,The Congo
19,2020-05-28,The Congo
19,2020-05-29,The Congo
19,2020-05-30,The Congo
20,2020-05-31,The Congo
20,2020-06-01,The Congo
20,2020-06-02,The Congo
20,2020-06-03,The Congo
20,2020-06-04,The Congo
20,2020-06-05,The Congo
22,2020-06-06,The Congo
22,2020-06-07,The Congo
22,2020-06-08,The Congo
24,2020-06-09,The Congo
24,2020-06-10,The Congo
24,2020-06-11,The Congo
24,2020-06-12,The Congo
24,2020-06-13,The Congo
24,2020-06-14,The Congo
27,2020-06-15,The Congo
27,2020-06-16,The Congo
27,2020-06-17,The Congo
27,2020-06-18,The Congo
27,2020-06-19,The Congo
27,2020-06-20,The Congo
27,2020-06-21,The Congo
37,2020-06-22,The Congo
37,2020-06-23,The Congo
37,2020-06-24,The Congo
37,2020-06-25,The Congo
37,2020-06-26,The Congo
37,2020-06-27,The Congo
37,2020-06-28,The Congo
37,2020-06-29,The Congo
37,2020-06-30,The Congo
41,2020-07-01,The Congo
41,2020-07-02,The Congo
44,2020-07-03,The Congo
44,2020-07-04,The Congo
44,2020-07-05,The Congo
44,2020-07-06,The Congo
44,2020-07-07,The Congo
47,2020-07-08,The Congo
47,2020-07-09,The Congo
47,2020-07-10,The Congo
47,2020-07-11,The Congo
47,2020-07-12,The Congo
47,2020-07-13,The Congo
47,2020-07-14,The Congo
47,2020-07-15,The Congo
48,2020-07-16,The Congo
49,2020-07-17,The Congo
49,2020-07-18,The Congo
49,2020-07-19,The Congo
50,2020-07-20,The Congo
50,2020-07-21,The Congo
50,2020-07-22,The Congo
50,2020-07-23,The Congo
51,2020-07-24,The Congo
51,2020-07-25,The Congo
51,2020-07-26,The Congo
54,2020-07-27,The Congo
54,2020-07-28,The Congo
54,2020-07-29,The Congo
54,2020-07-30,The Congo
54,2020-07-31,The Congo
54,2020-08-01,The Congo
54,2020-08-02,The Congo
58,2020-08-03,The Congo
58,2020-08-04,The Congo
58,2020-08-05,The Congo
58,2020-08-06,The Congo
58,2020-08-07,The Congo
58,2020-08-08,The Congo
58,2020-08-09,The Congo
58,2020-08-10,The Congo
60,2020-08-11,The Congo
60,2020-08-12,The Congo
60,2020-08-13,The Congo
60,2020-08-14,The Congo
60,2020-08-15,The Congo
76,2020-08-16,The Congo
76,2020-08-17,The Congo
76,2020-08-18,The Congo
77,2020-08-19,The Congo
77,2020-08-20,The Congo
77,2020-08-21,The Congo
77,2020-08-22,The Congo
77,2020-08-23,The Congo
78,2020-08-24,The Congo
78,2020-08-25,The Congo
78,2020-08-26,The Congo
78,2020-08-27,The Congo
78,2020-08-28,The Congo
78,2020-08-29,The Congo
78,2020-08-30,The Congo
78,2020-08-31,The Congo
78,2020-09-01,The Congo
102,2020-09-02,The Congo
102,2020-09-03,The Congo
102,2020-09-04,The Congo
102,2020-09-05,The Congo
102,2020-09-06,The Congo
102,2020-09-07,The Congo
114,2020-09-08,The Congo
114,2020-09-09,The Congo
83,2020-09-10,The Congo
88,2020-09-11,The Congo
88,2020-09-12,The Congo
88,2020-09-13,The Congo
88,2020-09-14,The Congo
88,2020-09-15,The Congo
88,2020-09-16,The Congo
88,2020-09-17,The Congo
89,2020-09-18,The Congo
89,2020-09-19,The Congo
89,2020-09-20,The Congo
89,2020-09-21,The Congo
89,2020-09-22,The Congo
89,2020-09-23,The Congo
89,2020-09-24,The Congo
89,2020-09-25,The Congo
89,2020-09-26,The Congo
89,2020-09-27,The Congo
89,2020-09-28,The Congo
89,2020-09-29,The Congo
89,2020-09-30,The Congo
89,2020-10-01,The Congo
89,2020-10-02,The Congo
89,2020-10-03,The Congo
89,2020-10-04,The Congo
89,2020-10-05,The Congo
89,2020-10-06,The Congo
89,2020-10-07,The Congo
89,2020-10-08,The Congo
90,2020-10-09,The Congo
90,2020-10-10,The Congo
90,2020-10-11,The Congo
90,2020-10-12,The Congo
90,2020-10-13,The Congo
92,2020-10-14,The Congo
92,2020-10-15,The Congo
92,2020-10-16,The Congo
92,2020-10-17,The Congo
92,2020-10-18,The Congo
92,2020-10-19,The Congo
92,2020-10-20,The Congo
92,2020-10-21,The Congo
92,2020-10-22,The Congo
92,2020-10-23,The Congo
92,2020-10-24,The Congo
92,2020-10-25,The Congo
92,2020-10-26,The Congo
92,2020-10-27,The Congo
92,2020-10-28,The Congo
92,2020-10-29,The Congo
92,2020-10-30,The Congo
92,2020-10-31,The Congo
92,2020-11-01,The Congo
92,2020-11-02,The Congo
92,2020-11-03,The Congo
92,2020-11-04,The Congo
92,2020-11-05,The Congo
92,2020-11-06,The Congo
92,2020-11-07,The Congo
92,2020-11-08,The Congo
92,2020-11-09,The Congo
92,2020-11-10,The Congo
92,2020-11-11,The Congo
92,2020-11-12,The Congo
92,2020-11-13,The Congo
92,2020-11-14,The Congo
92,2020-11-15,The Congo
92,2020-11-16,The Congo
92,2020-11-17,The Congo
92,2020-11-18,The Congo
93,2020-11-19,The Congo
93,2020-11-20,The Congo
93,2020-11-21,The Congo
93,2020-11-22,The Congo
93,2020-11-23,The Congo
93,2020-11-24,The Congo
93,2020-11-25,The Congo
93,2020-11-26,The Congo
94,2020-11-27,The Congo
94,2020-11-28,The Congo
94,2020-11-29,The Congo
94,2020-11-30,The Congo
94,2020-12-01,The Congo
94,2020-12-02,The Congo
94,2020-12-03,The Congo
94,2020-12-04,The Congo
94,2020-12-05,The Congo
94,2020-12-06,The Congo
94,2020-12-07,The Congo
94,2020-12-08,The Congo
99,2020-12-09,The Congo
99,2020-12-10,The Congo
99,2020-12-11,The Congo
99,2020-12-12,The Congo
99,2020-12-13,The Congo
100,2020-12-14,The Congo
100,2020-12-15,The Congo
100,2020-12-16,The Congo
100,2020-12-17,The Congo
100,2020-12-18,The Congo
100,2020-12-19,The Congo
