Deaths,CreationDate,Name
1,2020-03-21,The democratic republig of Congo
1,2020-03-22,The democratic republig of Congo
1,2020-03-23,The democratic republig of Congo
2,2020-03-24,The democratic republig of Congo
2,2020-03-25,The democratic republig of Congo
3,2020-03-26,The democratic republig of Congo
3,2020-03-27,The democratic republig of Congo
6,2020-03-28,The democratic republig of Congo
6,2020-03-29,The democratic republig of Congo
8,2020-03-30,The democratic republig of Congo
8,2020-03-31,The democratic republig of Congo
9,2020-04-01,The democratic republig of Congo
13,2020-04-02,The democratic republig of Congo
13,2020-04-03,The democratic republig of Congo
18,2020-04-04,The democratic republig of Congo
18,2020-04-05,The democratic republig of Congo
18,2020-04-06,The democratic republig of Congo
18,2020-04-07,The democratic republig of Congo
18,2020-04-08,The democratic republig of Congo
18,2020-04-09,The democratic republig of Congo
20,2020-04-10,The democratic republig of Congo
20,2020-04-11,The democratic republig of Congo
20,2020-04-12,The democratic republig of Congo
20,2020-04-13,The democratic republig of Congo
20,2020-04-14,The democratic republig of Congo
21,2020-04-15,The democratic republig of Congo
22,2020-04-16,The democratic republig of Congo
23,2020-04-17,The democratic republig of Congo
25,2020-04-18,The democratic republig of Congo
25,2020-04-19,The democratic republig of Congo
25,2020-04-20,The democratic republig of Congo
25,2020-04-21,The democratic republig of Congo
25,2020-04-22,The democratic republig of Congo
25,2020-04-23,The democratic republig of Congo
25,2020-04-24,The democratic republig of Congo
28,2020-04-25,The democratic republig of Congo
28,2020-04-26,The democratic republig of Congo
28,2020-04-27,The democratic republig of Congo
30,2020-04-28,The democratic republig of Congo
30,2020-04-29,The democratic republig of Congo
31,2020-04-30,The democratic republig of Congo
32,2020-05-01,The democratic republig of Congo
33,2020-05-02,The democratic republig of Congo
33,2020-05-03,The democratic republig of Congo
34,2020-05-04,The democratic republig of Congo
34,2020-05-05,The democratic republig of Congo
35,2020-05-06,The democratic republig of Congo
36,2020-05-07,The democratic republig of Congo
39,2020-05-08,The democratic republig of Congo
39,2020-05-09,The democratic republig of Congo
41,2020-05-10,The democratic republig of Congo
41,2020-05-11,The democratic republig of Congo
44,2020-05-12,The democratic republig of Congo
50,2020-05-13,The democratic republig of Congo
50,2020-05-14,The democratic republig of Congo
50,2020-05-15,The democratic republig of Congo
61,2020-05-16,The democratic republig of Congo
61,2020-05-17,The democratic republig of Congo
61,2020-05-18,The democratic republig of Congo
61,2020-05-19,The democratic republig of Congo
61,2020-05-20,The democratic republig of Congo
61,2020-05-21,The democratic republig of Congo
63,2020-05-22,The democratic republig of Congo
63,2020-05-23,The democratic republig of Congo
63,2020-05-24,The democratic republig of Congo
67,2020-05-25,The democratic republig of Congo
68,2020-05-26,The democratic republig of Congo
68,2020-05-27,The democratic republig of Congo
69,2020-05-28,The democratic republig of Congo
69,2020-05-29,The democratic republig of Congo
69,2020-05-30,The democratic republig of Congo
72,2020-05-31,The democratic republig of Congo
72,2020-06-01,The democratic republig of Congo
72,2020-06-02,The democratic republig of Congo
75,2020-06-03,The democratic republig of Congo
78,2020-06-04,The democratic republig of Congo
81,2020-06-05,The democratic republig of Congo
82,2020-06-06,The democratic republig of Congo
85,2020-06-07,The democratic republig of Congo
88,2020-06-08,The democratic republig of Congo
90,2020-06-09,The democratic republig of Congo
96,2020-06-10,The democratic republig of Congo
98,2020-06-11,The democratic republig of Congo
101,2020-06-12,The democratic republig of Congo
106,2020-06-13,The democratic republig of Congo
107,2020-06-14,The democratic republig of Congo
112,2020-06-15,The democratic republig of Congo
112,2020-06-16,The democratic republig of Congo
115,2020-06-17,The democratic republig of Congo
117,2020-06-18,The democratic republig of Congo
122,2020-06-19,The democratic republig of Congo
125,2020-06-20,The democratic republig of Congo
130,2020-06-21,The democratic republig of Congo
135,2020-06-22,The democratic republig of Congo
135,2020-06-23,The democratic republig of Congo
142,2020-06-24,The democratic republig of Congo
142,2020-06-25,The democratic republig of Congo
149,2020-06-26,The democratic republig of Congo
153,2020-06-27,The democratic republig of Congo
157,2020-06-28,The democratic republig of Congo
167,2020-06-29,The democratic republig of Congo
170,2020-06-30,The democratic republig of Congo
175,2020-07-01,The democratic republig of Congo
176,2020-07-02,The democratic republig of Congo
179,2020-07-03,The democratic republig of Congo
182,2020-07-04,The democratic republig of Congo
182,2020-07-05,The democratic republig of Congo
182,2020-07-06,The democratic republig of Congo
182,2020-07-07,The democratic republig of Congo
182,2020-07-08,The democratic republig of Congo
189,2020-07-09,The democratic republig of Congo
189,2020-07-10,The democratic republig of Congo
189,2020-07-11,The democratic republig of Congo
189,2020-07-12,The democratic republig of Congo
190,2020-07-13,The democratic republig of Congo
190,2020-07-14,The democratic republig of Congo
192,2020-07-15,The democratic republig of Congo
193,2020-07-16,The democratic republig of Congo
193,2020-07-17,The democratic republig of Congo
193,2020-07-18,The democratic republig of Congo
194,2020-07-19,The democratic republig of Congo
194,2020-07-20,The democratic republig of Congo
196,2020-07-21,The democratic republig of Congo
197,2020-07-22,The democratic republig of Congo
201,2020-07-23,The democratic republig of Congo
