Deaths,CreationDate,Name
1,2021-04-06,Timor-Leste
1,2021-04-07,Timor-Leste
1,2021-04-08,Timor-Leste
1,2021-04-09,Timor-Leste
1,2021-04-10,Timor-Leste
1,2021-04-11,Timor-Leste
1,2021-04-12,Timor-Leste
2,2021-04-13,Timor-Leste
2,2021-04-14,Timor-Leste
2,2021-04-15,Timor-Leste
2,2021-04-16,Timor-Leste
2,2021-04-17,Timor-Leste
2,2021-04-18,Timor-Leste
2,2021-04-19,Timor-Leste
2,2021-04-20,Timor-Leste
2,2021-04-21,Timor-Leste
3,2021-04-22,Timor-Leste
3,2021-04-23,Timor-Leste
3,2021-04-24,Timor-Leste
3,2021-04-25,Timor-Leste
3,2021-04-26,Timor-Leste
3,2021-04-27,Timor-Leste
3,2021-04-28,Timor-Leste
3,2021-04-29,Timor-Leste
3,2021-04-30,Timor-Leste
3,2021-05-01,Timor-Leste
4,2021-05-02,Timor-Leste
4,2021-05-03,Timor-Leste
4,2021-05-04,Timor-Leste
4,2021-05-05,Timor-Leste
4,2021-05-06,Timor-Leste
4,2021-05-07,Timor-Leste
4,2021-05-08,Timor-Leste
4,2021-05-09,Timor-Leste
5,2021-05-10,Timor-Leste
5,2021-05-11,Timor-Leste
5,2021-05-12,Timor-Leste
8,2021-05-13,Timor-Leste
8,2021-05-14,Timor-Leste
8,2021-05-15,Timor-Leste
10,2021-05-16,Timor-Leste
10,2021-05-17,Timor-Leste
10,2021-05-18,Timor-Leste
11,2021-05-19,Timor-Leste
11,2021-05-20,Timor-Leste
11,2021-05-21,Timor-Leste
11,2021-05-22,Timor-Leste
13,2021-05-23,Timor-Leste
13,2021-05-24,Timor-Leste
13,2021-05-25,Timor-Leste
