Deaths,CreationDate,Name
1,2020-03-27,Togo
1,2020-03-28,Togo
1,2020-03-29,Togo
1,2020-03-30,Togo
1,2020-03-31,Togo
2,2020-04-01,Togo
2,2020-04-02,Togo
3,2020-04-03,Togo
3,2020-04-04,Togo
3,2020-04-05,Togo
3,2020-04-06,Togo
3,2020-04-07,Togo
3,2020-04-08,Togo
3,2020-04-09,Togo
3,2020-04-10,Togo
3,2020-04-11,Togo
3,2020-04-12,Togo
3,2020-04-13,Togo
3,2020-04-14,Togo
3,2020-04-15,Togo
5,2020-04-16,Togo
5,2020-04-17,Togo
5,2020-04-18,Togo
5,2020-04-19,Togo
6,2020-04-20,Togo
6,2020-04-21,Togo
6,2020-04-22,Togo
6,2020-04-23,Togo
6,2020-04-24,Togo
6,2020-04-25,Togo
6,2020-04-26,Togo
6,2020-04-27,Togo
6,2020-04-28,Togo
7,2020-04-29,Togo
9,2020-04-30,Togo
9,2020-05-01,Togo
9,2020-05-02,Togo
9,2020-05-03,Togo
9,2020-05-04,Togo
9,2020-05-05,Togo
9,2020-05-06,Togo
9,2020-05-07,Togo
10,2020-05-08,Togo
10,2020-05-09,Togo
11,2020-05-10,Togo
11,2020-05-11,Togo
11,2020-05-12,Togo
11,2020-05-13,Togo
11,2020-05-14,Togo
11,2020-05-15,Togo
11,2020-05-16,Togo
11,2020-05-17,Togo
12,2020-05-18,Togo
12,2020-05-19,Togo
12,2020-05-20,Togo
12,2020-05-21,Togo
12,2020-05-22,Togo
12,2020-05-23,Togo
12,2020-05-24,Togo
13,2020-05-25,Togo
13,2020-05-26,Togo
13,2020-05-27,Togo
13,2020-05-28,Togo
13,2020-05-29,Togo
13,2020-05-30,Togo
13,2020-05-31,Togo
13,2020-06-01,Togo
13,2020-06-02,Togo
13,2020-06-03,Togo
13,2020-06-04,Togo
13,2020-06-05,Togo
13,2020-06-06,Togo
13,2020-06-07,Togo
13,2020-06-08,Togo
13,2020-06-09,Togo
13,2020-06-10,Togo
13,2020-06-11,Togo
13,2020-06-12,Togo
13,2020-06-13,Togo
13,2020-06-14,Togo
13,2020-06-15,Togo
13,2020-06-16,Togo
13,2020-06-17,Togo
13,2020-06-18,Togo
13,2020-06-19,Togo
13,2020-06-20,Togo
13,2020-06-21,Togo
13,2020-06-22,Togo
13,2020-06-23,Togo
14,2020-06-24,Togo
14,2020-06-25,Togo
14,2020-06-26,Togo
14,2020-06-27,Togo
14,2020-06-28,Togo
14,2020-06-29,Togo
14,2020-06-30,Togo
14,2020-07-01,Togo
14,2020-07-02,Togo
14,2020-07-03,Togo
15,2020-07-04,Togo
15,2020-07-05,Togo
15,2020-07-06,Togo
15,2020-07-07,Togo
15,2020-07-08,Togo
15,2020-07-09,Togo
15,2020-07-10,Togo
15,2020-07-11,Togo
15,2020-07-12,Togo
15,2020-07-13,Togo
15,2020-07-14,Togo
15,2020-07-15,Togo
15,2020-07-16,Togo
15,2020-07-17,Togo
15,2020-07-18,Togo
15,2020-07-19,Togo
15,2020-07-20,Togo
15,2020-07-21,Togo
16,2020-07-22,Togo
16,2020-07-23,Togo
17,2020-07-24,Togo
17,2020-07-25,Togo
18,2020-07-26,Togo
18,2020-07-27,Togo
18,2020-07-28,Togo
18,2020-07-29,Togo
18,2020-07-30,Togo
19,2020-07-31,Togo
19,2020-08-01,Togo
19,2020-08-02,Togo
19,2020-08-03,Togo
19,2020-08-04,Togo
21,2020-08-05,Togo
22,2020-08-06,Togo
22,2020-08-07,Togo
23,2020-08-08,Togo
23,2020-08-09,Togo
25,2020-08-10,Togo
26,2020-08-11,Togo
26,2020-08-12,Togo
26,2020-08-13,Togo
26,2020-08-14,Togo
27,2020-08-15,Togo
27,2020-08-16,Togo
27,2020-08-17,Togo
27,2020-08-18,Togo
27,2020-08-19,Togo
27,2020-08-20,Togo
27,2020-08-21,Togo
27,2020-08-22,Togo
27,2020-08-23,Togo
27,2020-08-24,Togo
27,2020-08-25,Togo
27,2020-08-26,Togo
27,2020-08-27,Togo
27,2020-08-28,Togo
27,2020-08-29,Togo
27,2020-08-30,Togo
28,2020-08-31,Togo
28,2020-09-01,Togo
30,2020-09-02,Togo
31,2020-09-03,Togo
31,2020-09-04,Togo
32,2020-09-05,Togo
32,2020-09-06,Togo
33,2020-09-07,Togo
34,2020-09-08,Togo
36,2020-09-09,Togo
37,2020-09-10,Togo
37,2020-09-11,Togo
37,2020-09-12,Togo
37,2020-09-13,Togo
40,2020-09-14,Togo
40,2020-09-15,Togo
40,2020-09-16,Togo
41,2020-09-17,Togo
41,2020-09-18,Togo
41,2020-09-19,Togo
41,2020-09-20,Togo
41,2020-09-21,Togo
41,2020-09-22,Togo
41,2020-09-23,Togo
44,2020-09-24,Togo
44,2020-09-25,Togo
46,2020-09-26,Togo
46,2020-09-27,Togo
47,2020-09-28,Togo
48,2020-09-29,Togo
48,2020-09-30,Togo
48,2020-10-01,Togo
48,2020-10-02,Togo
48,2020-10-03,Togo
48,2020-10-04,Togo
48,2020-10-05,Togo
49,2020-10-06,Togo
49,2020-10-07,Togo
49,2020-10-08,Togo
49,2020-10-09,Togo
49,2020-10-10,Togo
49,2020-10-11,Togo
49,2020-10-12,Togo
50,2020-10-13,Togo
51,2020-10-14,Togo
51,2020-10-15,Togo
51,2020-10-16,Togo
51,2020-10-17,Togo
51,2020-10-18,Togo
51,2020-10-19,Togo
51,2020-10-20,Togo
51,2020-10-21,Togo
52,2020-10-22,Togo
52,2020-10-23,Togo
52,2020-10-24,Togo
52,2020-10-25,Togo
53,2020-10-26,Togo
54,2020-10-27,Togo
54,2020-10-28,Togo
55,2020-10-29,Togo
55,2020-10-30,Togo
57,2020-10-31,Togo
57,2020-11-01,Togo
57,2020-11-02,Togo
57,2020-11-03,Togo
57,2020-11-04,Togo
57,2020-11-05,Togo
57,2020-11-06,Togo
57,2020-11-07,Togo
57,2020-11-08,Togo
57,2020-11-09,Togo
57,2020-11-10,Togo
59,2020-11-11,Togo
60,2020-11-12,Togo
60,2020-11-13,Togo
61,2020-11-14,Togo
61,2020-11-15,Togo
61,2020-11-16,Togo
62,2020-11-17,Togo
63,2020-11-18,Togo
63,2020-11-19,Togo
64,2020-11-20,Togo
64,2020-11-21,Togo
64,2020-11-22,Togo
64,2020-11-23,Togo
64,2020-11-24,Togo
64,2020-11-25,Togo
64,2020-11-26,Togo
64,2020-11-27,Togo
64,2020-11-28,Togo
64,2020-11-29,Togo
64,2020-11-30,Togo
64,2020-12-01,Togo
65,2020-12-02,Togo
65,2020-12-03,Togo
65,2020-12-04,Togo
65,2020-12-05,Togo
65,2020-12-06,Togo
65,2020-12-07,Togo
65,2020-12-08,Togo
65,2020-12-09,Togo
66,2020-12-10,Togo
66,2020-12-11,Togo
66,2020-12-12,Togo
66,2020-12-13,Togo
66,2020-12-14,Togo
66,2020-12-15,Togo
66,2020-12-16,Togo
66,2020-12-17,Togo
66,2020-12-18,Togo
66,2020-12-19,Togo
66,2020-12-20,Togo
66,2020-12-21,Togo
66,2020-12-22,Togo
68,2020-12-23,Togo
68,2020-12-24,Togo
68,2020-12-25,Togo
68,2020-12-26,Togo
68,2020-12-27,Togo
68,2020-12-28,Togo
68,2020-12-29,Togo
68,2020-12-30,Togo
68,2020-12-31,Togo
68,2021-01-01,Togo
68,2021-01-02,Togo
68,2021-01-03,Togo
69,2021-01-04,Togo
69,2021-01-05,Togo
70,2021-01-06,Togo
