Deaths,CreationDate,Name
1,2020-03-25,Trinidad and Tobago
1,2020-03-26,Trinidad and Tobago
2,2020-03-27,Trinidad and Tobago
3,2020-03-28,Trinidad and Tobago
3,2020-03-29,Trinidad and Tobago
3,2020-03-30,Trinidad and Tobago
3,2020-03-31,Trinidad and Tobago
5,2020-04-01,Trinidad and Tobago
5,2020-04-02,Trinidad and Tobago
6,2020-04-03,Trinidad and Tobago
6,2020-04-04,Trinidad and Tobago
7,2020-04-05,Trinidad and Tobago
8,2020-04-06,Trinidad and Tobago
8,2020-04-07,Trinidad and Tobago
8,2020-04-08,Trinidad and Tobago
8,2020-04-09,Trinidad and Tobago
8,2020-04-10,Trinidad and Tobago
8,2020-04-11,Trinidad and Tobago
8,2020-04-12,Trinidad and Tobago
8,2020-04-13,Trinidad and Tobago
8,2020-04-14,Trinidad and Tobago
8,2020-04-15,Trinidad and Tobago
8,2020-04-16,Trinidad and Tobago
8,2020-04-17,Trinidad and Tobago
8,2020-04-18,Trinidad and Tobago
8,2020-04-19,Trinidad and Tobago
8,2020-04-20,Trinidad and Tobago
8,2020-04-21,Trinidad and Tobago
8,2020-04-22,Trinidad and Tobago
8,2020-04-23,Trinidad and Tobago
8,2020-04-24,Trinidad and Tobago
8,2020-04-25,Trinidad and Tobago
8,2020-04-26,Trinidad and Tobago
8,2020-04-27,Trinidad and Tobago
8,2020-04-28,Trinidad and Tobago
8,2020-04-29,Trinidad and Tobago
8,2020-04-30,Trinidad and Tobago
8,2020-05-01,Trinidad and Tobago
8,2020-05-02,Trinidad and Tobago
8,2020-05-03,Trinidad and Tobago
8,2020-05-04,Trinidad and Tobago
8,2020-05-05,Trinidad and Tobago
8,2020-05-06,Trinidad and Tobago
8,2020-05-07,Trinidad and Tobago
8,2020-05-08,Trinidad and Tobago
8,2020-05-09,Trinidad and Tobago
8,2020-05-10,Trinidad and Tobago
8,2020-05-11,Trinidad and Tobago
8,2020-05-12,Trinidad and Tobago
8,2020-05-13,Trinidad and Tobago
8,2020-05-14,Trinidad and Tobago
8,2020-05-15,Trinidad and Tobago
8,2020-05-16,Trinidad and Tobago
8,2020-05-17,Trinidad and Tobago
8,2020-05-18,Trinidad and Tobago
8,2020-05-19,Trinidad and Tobago
8,2020-05-20,Trinidad and Tobago
8,2020-05-21,Trinidad and Tobago
8,2020-05-22,Trinidad and Tobago
8,2020-05-23,Trinidad and Tobago
8,2020-05-24,Trinidad and Tobago
8,2020-05-25,Trinidad and Tobago
8,2020-05-26,Trinidad and Tobago
8,2020-05-27,Trinidad and Tobago
8,2020-05-28,Trinidad and Tobago
8,2020-05-29,Trinidad and Tobago
8,2020-05-30,Trinidad and Tobago
8,2020-05-31,Trinidad and Tobago
8,2020-06-01,Trinidad and Tobago
8,2020-06-02,Trinidad and Tobago
8,2020-06-03,Trinidad and Tobago
8,2020-06-04,Trinidad and Tobago
8,2020-06-05,Trinidad and Tobago
8,2020-06-06,Trinidad and Tobago
8,2020-06-07,Trinidad and Tobago
8,2020-06-08,Trinidad and Tobago
8,2020-06-09,Trinidad and Tobago
8,2020-06-10,Trinidad and Tobago
8,2020-06-11,Trinidad and Tobago
8,2020-06-12,Trinidad and Tobago
8,2020-06-13,Trinidad and Tobago
8,2020-06-14,Trinidad and Tobago
8,2020-06-15,Trinidad and Tobago
8,2020-06-16,Trinidad and Tobago
8,2020-06-17,Trinidad and Tobago
8,2020-06-18,Trinidad and Tobago
8,2020-06-19,Trinidad and Tobago
8,2020-06-20,Trinidad and Tobago
8,2020-06-21,Trinidad and Tobago
8,2020-06-22,Trinidad and Tobago
8,2020-06-23,Trinidad and Tobago
8,2020-06-24,Trinidad and Tobago
8,2020-06-25,Trinidad and Tobago
8,2020-06-26,Trinidad and Tobago
8,2020-06-27,Trinidad and Tobago
8,2020-06-28,Trinidad and Tobago
8,2020-06-29,Trinidad and Tobago
8,2020-06-30,Trinidad and Tobago
8,2020-07-01,Trinidad and Tobago
8,2020-07-02,Trinidad and Tobago
8,2020-07-03,Trinidad and Tobago
8,2020-07-04,Trinidad and Tobago
8,2020-07-05,Trinidad and Tobago
8,2020-07-06,Trinidad and Tobago
8,2020-07-07,Trinidad and Tobago
8,2020-07-08,Trinidad and Tobago
8,2020-07-09,Trinidad and Tobago
8,2020-07-10,Trinidad and Tobago
8,2020-07-11,Trinidad and Tobago
8,2020-07-12,Trinidad and Tobago
8,2020-07-13,Trinidad and Tobago
8,2020-07-14,Trinidad and Tobago
8,2020-07-15,Trinidad and Tobago
8,2020-07-16,Trinidad and Tobago
8,2020-07-17,Trinidad and Tobago
8,2020-07-18,Trinidad and Tobago
8,2020-07-19,Trinidad and Tobago
8,2020-07-20,Trinidad and Tobago
8,2020-07-21,Trinidad and Tobago
8,2020-07-22,Trinidad and Tobago
8,2020-07-23,Trinidad and Tobago
8,2020-07-24,Trinidad and Tobago
8,2020-07-25,Trinidad and Tobago
8,2020-07-26,Trinidad and Tobago
8,2020-07-27,Trinidad and Tobago
8,2020-07-28,Trinidad and Tobago
8,2020-07-29,Trinidad and Tobago
8,2020-07-30,Trinidad and Tobago
8,2020-07-31,Trinidad and Tobago
8,2020-08-01,Trinidad and Tobago
8,2020-08-02,Trinidad and Tobago
8,2020-08-03,Trinidad and Tobago
8,2020-08-04,Trinidad and Tobago
8,2020-08-05,Trinidad and Tobago
8,2020-08-06,Trinidad and Tobago
