Deaths,CreationDate,Name
1,2020-03-19,Tunisia
1,2020-03-20,Tunisia
1,2020-03-21,Tunisia
3,2020-03-22,Tunisia
3,2020-03-23,Tunisia
4,2020-03-24,Tunisia
5,2020-03-25,Tunisia
6,2020-03-26,Tunisia
6,2020-03-27,Tunisia
8,2020-03-28,Tunisia
8,2020-03-29,Tunisia
8,2020-03-30,Tunisia
10,2020-03-31,Tunisia
12,2020-04-01,Tunisia
14,2020-04-02,Tunisia
18,2020-04-03,Tunisia
18,2020-04-04,Tunisia
22,2020-04-05,Tunisia
22,2020-04-06,Tunisia
23,2020-04-07,Tunisia
24,2020-04-08,Tunisia
25,2020-04-09,Tunisia
25,2020-04-10,Tunisia
28,2020-04-11,Tunisia
31,2020-04-12,Tunisia
34,2020-04-13,Tunisia
34,2020-04-14,Tunisia
35,2020-04-15,Tunisia
37,2020-04-16,Tunisia
37,2020-04-17,Tunisia
37,2020-04-18,Tunisia
38,2020-04-19,Tunisia
38,2020-04-20,Tunisia
38,2020-04-21,Tunisia
38,2020-04-22,Tunisia
38,2020-04-23,Tunisia
38,2020-04-24,Tunisia
38,2020-04-25,Tunisia
38,2020-04-26,Tunisia
39,2020-04-27,Tunisia
40,2020-04-28,Tunisia
40,2020-04-29,Tunisia
41,2020-04-30,Tunisia
41,2020-05-01,Tunisia
42,2020-05-02,Tunisia
42,2020-05-03,Tunisia
43,2020-05-04,Tunisia
43,2020-05-05,Tunisia
43,2020-05-06,Tunisia
44,2020-05-07,Tunisia
45,2020-05-08,Tunisia
45,2020-05-09,Tunisia
45,2020-05-10,Tunisia
45,2020-05-11,Tunisia
45,2020-05-12,Tunisia
45,2020-05-13,Tunisia
45,2020-05-14,Tunisia
45,2020-05-15,Tunisia
45,2020-05-16,Tunisia
45,2020-05-17,Tunisia
46,2020-05-18,Tunisia
47,2020-05-19,Tunisia
47,2020-05-20,Tunisia
47,2020-05-21,Tunisia
47,2020-05-22,Tunisia
48,2020-05-23,Tunisia
48,2020-05-24,Tunisia
48,2020-05-25,Tunisia
48,2020-05-26,Tunisia
48,2020-05-27,Tunisia
48,2020-05-28,Tunisia
48,2020-05-29,Tunisia
