Deaths,CreationDate,Name
1,2020-03-17,Turkey
1,2020-03-18,Turkey
3,2020-03-19,Turkey
4,2020-03-20,Turkey
9,2020-03-21,Turkey
30,2020-03-22,Turkey
37,2020-03-23,Turkey
44,2020-03-24,Turkey
59,2020-03-25,Turkey
75,2020-03-26,Turkey
92,2020-03-27,Turkey
108,2020-03-28,Turkey
131,2020-03-29,Turkey
168,2020-03-30,Turkey
214,2020-03-31,Turkey
277,2020-04-01,Turkey
356,2020-04-02,Turkey
425,2020-04-03,Turkey
501,2020-04-04,Turkey
574,2020-04-05,Turkey
649,2020-04-06,Turkey
725,2020-04-07,Turkey
812,2020-04-08,Turkey
908,2020-04-09,Turkey
1006,2020-04-10,Turkey
1101,2020-04-11,Turkey
1198,2020-04-12,Turkey
1296,2020-04-13,Turkey
1403,2020-04-14,Turkey
1518,2020-04-15,Turkey
1643,2020-04-16,Turkey
1769,2020-04-17,Turkey
1890,2020-04-18,Turkey
2017,2020-04-19,Turkey
2140,2020-04-20,Turkey
2259,2020-04-21,Turkey
2376,2020-04-22,Turkey
2491,2020-04-23,Turkey
2600,2020-04-24,Turkey
2706,2020-04-25,Turkey
2805,2020-04-26,Turkey
2900,2020-04-27,Turkey
2992,2020-04-28,Turkey
3081,2020-04-29,Turkey
3174,2020-04-30,Turkey
3258,2020-05-01,Turkey
3336,2020-05-02,Turkey
3397,2020-05-03,Turkey
3461,2020-05-04,Turkey
3520,2020-05-05,Turkey
3584,2020-05-06,Turkey
3641,2020-05-07,Turkey
3689,2020-05-08,Turkey
3739,2020-05-09,Turkey
3786,2020-05-10,Turkey
3841,2020-05-11,Turkey
3894,2020-05-12,Turkey
3952,2020-05-13,Turkey
4007,2020-05-14,Turkey
4055,2020-05-15,Turkey
4096,2020-05-16,Turkey
4140,2020-05-17,Turkey
4171,2020-05-18,Turkey
4199,2020-05-19,Turkey
4222,2020-05-20,Turkey
4249,2020-05-21,Turkey
4276,2020-05-22,Turkey
4308,2020-05-23,Turkey
4340,2020-05-24,Turkey
4369,2020-05-25,Turkey
4397,2020-05-26,Turkey
4431,2020-05-27,Turkey
4461,2020-05-28,Turkey
4489,2020-05-29,Turkey
4515,2020-05-30,Turkey
4540,2020-05-31,Turkey
4563,2020-06-01,Turkey
4585,2020-06-02,Turkey
4609,2020-06-03,Turkey
4630,2020-06-04,Turkey
4648,2020-06-05,Turkey
4669,2020-06-06,Turkey
4692,2020-06-07,Turkey
4711,2020-06-08,Turkey
4729,2020-06-09,Turkey
4746,2020-06-10,Turkey
4763,2020-06-11,Turkey
4778,2020-06-12,Turkey
4792,2020-06-13,Turkey
4807,2020-06-14,Turkey
4825,2020-06-15,Turkey
4842,2020-06-16,Turkey
4861,2020-06-17,Turkey
4882,2020-06-18,Turkey
4905,2020-06-19,Turkey
4927,2020-06-20,Turkey
4950,2020-06-21,Turkey
4974,2020-06-22,Turkey
5001,2020-06-23,Turkey
5025,2020-06-24,Turkey
5046,2020-06-25,Turkey
5065,2020-06-26,Turkey
5082,2020-06-27,Turkey
