Deaths,CreationDate,Name
1,2020-07-24,Uganda
1,2020-07-25,Uganda
2,2020-07-26,Uganda
2,2020-07-27,Uganda
2,2020-07-28,Uganda
2,2020-07-29,Uganda
2,2020-07-30,Uganda
3,2020-07-31,Uganda
4,2020-08-01,Uganda
4,2020-08-02,Uganda
5,2020-08-03,Uganda
5,2020-08-04,Uganda
5,2020-08-05,Uganda
5,2020-08-06,Uganda
6,2020-08-07,Uganda
6,2020-08-08,Uganda
7,2020-08-09,Uganda
9,2020-08-10,Uganda
9,2020-08-11,Uganda
9,2020-08-12,Uganda
11,2020-08-13,Uganda
12,2020-08-14,Uganda
13,2020-08-15,Uganda
13,2020-08-16,Uganda
15,2020-08-17,Uganda
15,2020-08-18,Uganda
16,2020-08-19,Uganda
19,2020-08-20,Uganda
19,2020-08-21,Uganda
20,2020-08-22,Uganda
20,2020-08-23,Uganda
22,2020-08-24,Uganda
25,2020-08-25,Uganda
26,2020-08-26,Uganda
28,2020-08-27,Uganda
28,2020-08-28,Uganda
29,2020-08-29,Uganda
30,2020-08-30,Uganda
32,2020-08-31,Uganda
32,2020-09-01,Uganda
32,2020-09-02,Uganda
33,2020-09-03,Uganda
35,2020-09-04,Uganda
39,2020-09-05,Uganda
41,2020-09-06,Uganda
44,2020-09-07,Uganda
46,2020-09-08,Uganda
46,2020-09-09,Uganda
48,2020-09-10,Uganda
49,2020-09-11,Uganda
52,2020-09-12,Uganda
55,2020-09-13,Uganda
56,2020-09-14,Uganda
58,2020-09-15,Uganda
60,2020-09-16,Uganda
60,2020-09-17,Uganda
61,2020-09-18,Uganda
63,2020-09-19,Uganda
63,2020-09-20,Uganda
63,2020-09-21,Uganda
64,2020-09-22,Uganda
69,2020-09-23,Uganda
70,2020-09-24,Uganda
71,2020-09-25,Uganda
71,2020-09-26,Uganda
73,2020-09-27,Uganda
75,2020-09-28,Uganda
75,2020-09-29,Uganda
75,2020-09-30,Uganda
75,2020-10-01,Uganda
79,2020-10-02,Uganda
79,2020-10-03,Uganda
81,2020-10-04,Uganda
82,2020-10-05,Uganda
84,2020-10-06,Uganda
85,2020-10-07,Uganda
85,2020-10-08,Uganda
86,2020-10-09,Uganda
93,2020-10-10,Uganda
93,2020-10-11,Uganda
94,2020-10-12,Uganda
95,2020-10-13,Uganda
95,2020-10-14,Uganda
96,2020-10-15,Uganda
96,2020-10-16,Uganda
96,2020-10-17,Uganda
97,2020-10-18,Uganda
97,2020-10-19,Uganda
97,2020-10-20,Uganda
98,2020-10-21,Uganda
98,2020-10-22,Uganda
99,2020-10-23,Uganda
99,2020-10-24,Uganda
101,2020-10-25,Uganda
101,2020-10-26,Uganda
103,2020-10-27,Uganda
106,2020-10-28,Uganda
108,2020-10-29,Uganda
110,2020-10-30,Uganda
111,2020-10-31,Uganda
112,2020-11-01,Uganda
114,2020-11-02,Uganda
115,2020-11-03,Uganda
117,2020-11-04,Uganda
117,2020-11-05,Uganda
131,2020-11-06,Uganda
131,2020-11-07,Uganda
132,2020-11-08,Uganda
133,2020-11-09,Uganda
133,2020-11-10,Uganda
139,2020-11-11,Uganda
143,2020-11-12,Uganda
144,2020-11-13,Uganda
144,2020-11-14,Uganda
145,2020-11-15,Uganda
150,2020-11-16,Uganda
150,2020-11-17,Uganda
157,2020-11-18,Uganda
158,2020-11-19,Uganda
168,2020-11-20,Uganda
168,2020-11-21,Uganda
172,2020-11-22,Uganda
181,2020-11-23,Uganda
186,2020-11-24,Uganda
191,2020-11-25,Uganda
191,2020-11-26,Uganda
197,2020-11-27,Uganda
201,2020-11-28,Uganda
201,2020-11-29,Uganda
205,2020-11-30,Uganda
205,2020-12-01,Uganda
206,2020-12-02,Uganda
206,2020-12-03,Uganda
206,2020-12-04,Uganda
206,2020-12-05,Uganda
206,2020-12-06,Uganda
207,2020-12-07,Uganda
207,2020-12-08,Uganda
219,2020-12-09,Uganda
220,2020-12-10,Uganda
220,2020-12-11,Uganda
220,2020-12-12,Uganda
221,2020-12-13,Uganda
224,2020-12-14,Uganda
225,2020-12-15,Uganda
225,2020-12-16,Uganda
228,2020-12-17,Uganda
230,2020-12-18,Uganda
230,2020-12-19,Uganda
231,2020-12-20,Uganda
238,2020-12-21,Uganda
238,2020-12-22,Uganda
245,2020-12-23,Uganda
245,2020-12-24,Uganda
245,2020-12-25,Uganda
245,2020-12-26,Uganda
248,2020-12-27,Uganda
248,2020-12-28,Uganda
250,2020-12-29,Uganda
251,2020-12-30,Uganda
251,2020-12-31,Uganda
265,2021-01-01,Uganda
274,2021-01-02,Uganda
274,2021-01-03,Uganda
274,2021-01-04,Uganda
290,2021-01-05,Uganda
294,2021-01-06,Uganda
297,2021-01-07,Uganda
300,2021-01-08,Uganda
301,2021-01-09,Uganda
301,2021-01-10,Uganda
302,2021-01-11,Uganda
303,2021-01-12,Uganda
304,2021-01-13,Uganda
304,2021-01-14,Uganda
304,2021-01-15,Uganda
304,2021-01-16,Uganda
304,2021-01-17,Uganda
304,2021-01-18,Uganda
305,2021-01-19,Uganda
305,2021-01-20,Uganda
316,2021-01-21,Uganda
317,2021-01-22,Uganda
317,2021-01-23,Uganda
317,2021-01-24,Uganda
318,2021-01-25,Uganda
318,2021-01-26,Uganda
318,2021-01-27,Uganda
318,2021-01-28,Uganda
324,2021-01-29,Uganda
324,2021-01-30,Uganda
324,2021-01-31,Uganda
325,2021-02-01,Uganda
325,2021-02-02,Uganda
327,2021-02-03,Uganda
327,2021-02-04,Uganda
327,2021-02-05,Uganda
327,2021-02-06,Uganda
327,2021-02-07,Uganda
327,2021-02-08,Uganda
327,2021-02-09,Uganda
328,2021-02-10,Uganda
328,2021-02-11,Uganda
328,2021-02-12,Uganda
328,2021-02-13,Uganda
328,2021-02-14,Uganda
328,2021-02-15,Uganda
331,2021-02-16,Uganda
331,2021-02-17,Uganda
331,2021-02-18,Uganda
331,2021-02-19,Uganda
333,2021-02-20,Uganda
333,2021-02-21,Uganda
333,2021-02-22,Uganda
333,2021-02-23,Uganda
334,2021-02-24,Uganda
334,2021-02-25,Uganda
334,2021-02-26,Uganda
334,2021-02-27,Uganda
334,2021-02-28,Uganda
334,2021-03-01,Uganda
334,2021-03-02,Uganda
334,2021-03-03,Uganda
334,2021-03-04,Uganda
334,2021-03-05,Uganda
334,2021-03-06,Uganda
334,2021-03-07,Uganda
334,2021-03-08,Uganda
334,2021-03-09,Uganda
334,2021-03-10,Uganda
334,2021-03-11,Uganda
334,2021-03-12,Uganda
334,2021-03-13,Uganda
334,2021-03-14,Uganda
334,2021-03-15,Uganda
334,2021-03-16,Uganda
334,2021-03-17,Uganda
334,2021-03-18,Uganda
334,2021-03-19,Uganda
334,2021-03-20,Uganda
334,2021-03-21,Uganda
334,2021-03-22,Uganda
334,2021-03-23,Uganda
334,2021-03-24,Uganda
334,2021-03-25,Uganda
335,2021-03-26,Uganda
335,2021-03-27,Uganda
335,2021-03-28,Uganda
335,2021-03-29,Uganda
335,2021-03-30,Uganda
335,2021-03-31,Uganda
335,2021-04-01,Uganda
335,2021-04-02,Uganda
335,2021-04-03,Uganda
335,2021-04-04,Uganda
335,2021-04-05,Uganda
335,2021-04-06,Uganda
337,2021-04-07,Uganda
337,2021-04-08,Uganda
337,2021-04-09,Uganda
337,2021-04-10,Uganda
337,2021-04-11,Uganda
337,2021-04-12,Uganda
337,2021-04-13,Uganda
338,2021-04-14,Uganda
338,2021-04-15,Uganda
338,2021-04-16,Uganda
338,2021-04-17,Uganda
338,2021-04-18,Uganda
339,2021-04-19,Uganda
341,2021-04-20,Uganda
341,2021-04-21,Uganda
341,2021-04-22,Uganda
341,2021-04-23,Uganda
341,2021-04-24,Uganda
341,2021-04-25,Uganda
341,2021-04-26,Uganda
341,2021-04-27,Uganda
341,2021-04-28,Uganda
342,2021-04-29,Uganda
342,2021-04-30,Uganda
342,2021-05-01,Uganda
342,2021-05-02,Uganda
342,2021-05-03,Uganda
342,2021-05-04,Uganda
343,2021-05-05,Uganda
345,2021-05-06,Uganda
346,2021-05-07,Uganda
346,2021-05-08,Uganda
346,2021-05-09,Uganda
346,2021-05-10,Uganda
346,2021-05-11,Uganda
346,2021-05-12,Uganda
346,2021-05-13,Uganda
347,2021-05-14,Uganda
347,2021-05-15,Uganda
347,2021-05-16,Uganda
347,2021-05-17,Uganda
349,2021-05-18,Uganda
350,2021-05-19,Uganda
350,2021-05-20,Uganda
350,2021-05-21,Uganda
350,2021-05-22,Uganda
356,2021-05-23,Uganda
357,2021-05-24,Uganda
358,2021-05-25,Uganda
