Deaths,CreationDate,Name
1,2020-03-13,Ukraine
1,2020-03-14,Ukraine
1,2020-03-15,Ukraine
1,2020-03-16,Ukraine
2,2020-03-17,Ukraine
2,2020-03-18,Ukraine
2,2020-03-19,Ukraine
3,2020-03-20,Ukraine
3,2020-03-21,Ukraine
3,2020-03-22,Ukraine
3,2020-03-23,Ukraine
3,2020-03-24,Ukraine
5,2020-03-25,Ukraine
5,2020-03-26,Ukraine
5,2020-03-27,Ukraine
9,2020-03-28,Ukraine
10,2020-03-29,Ukraine
13,2020-03-30,Ukraine
17,2020-03-31,Ukraine
20,2020-04-01,Ukraine
22,2020-04-02,Ukraine
27,2020-04-03,Ukraine
32,2020-04-04,Ukraine
37,2020-04-05,Ukraine
38,2020-04-06,Ukraine
45,2020-04-07,Ukraine
52,2020-04-08,Ukraine
57,2020-04-09,Ukraine
69,2020-04-10,Ukraine
73,2020-04-11,Ukraine
83,2020-04-12,Ukraine
93,2020-04-13,Ukraine
98,2020-04-14,Ukraine
108,2020-04-15,Ukraine
116,2020-04-16,Ukraine
125,2020-04-17,Ukraine
133,2020-04-18,Ukraine
141,2020-04-19,Ukraine
151,2020-04-20,Ukraine
161,2020-04-21,Ukraine
174,2020-04-22,Ukraine
187,2020-04-23,Ukraine
201,2020-04-24,Ukraine
201,2020-04-25,Ukraine
209,2020-04-26,Ukraine
220,2020-04-27,Ukraine
239,2020-04-28,Ukraine
250,2020-04-29,Ukraine
261,2020-04-30,Ukraine
272,2020-05-01,Ukraine
279,2020-05-02,Ukraine
288,2020-05-03,Ukraine
303,2020-05-04,Ukraine
316,2020-05-05,Ukraine
327,2020-05-06,Ukraine
340,2020-05-07,Ukraine
361,2020-05-08,Ukraine
376,2020-05-09,Ukraine
391,2020-05-10,Ukraine
408,2020-05-11,Ukraine
425,2020-05-12,Ukraine
439,2020-05-13,Ukraine
456,2020-05-14,Ukraine
476,2020-05-15,Ukraine
497,2020-05-16,Ukraine
514,2020-05-17,Ukraine
535,2020-05-18,Ukraine
548,2020-05-19,Ukraine
564,2020-05-20,Ukraine
579,2020-05-21,Ukraine
588,2020-05-22,Ukraine
605,2020-05-23,Ukraine
617,2020-05-24,Ukraine
623,2020-05-25,Ukraine
644,2020-05-26,Ukraine
658,2020-05-27,Ukraine
669,2020-05-28,Ukraine
679,2020-05-29,Ukraine
696,2020-05-30,Ukraine
708,2020-05-31,Ukraine
724,2020-06-01,Ukraine
733,2020-06-02,Ukraine
742,2020-06-03,Ukraine
755,2020-06-04,Ukraine
770,2020-06-05,Ukraine
785,2020-06-06,Ukraine
796,2020-06-07,Ukraine
805,2020-06-08,Ukraine
818,2020-06-09,Ukraine
841,2020-06-10,Ukraine
864,2020-06-11,Ukraine
880,2020-06-12,Ukraine
890,2020-06-13,Ukraine
899,2020-06-14,Ukraine
911,2020-06-15,Ukraine
922,2020-06-16,Ukraine
953,2020-06-17,Ukraine
976,2020-06-18,Ukraine
995,2020-06-19,Ukraine
1004,2020-06-20,Ukraine
1012,2020-06-21,Ukraine
1022,2020-06-22,Ukraine
1045,2020-06-23,Ukraine
1061,2020-06-24,Ukraine
1078,2020-06-25,Ukraine
1097,2020-06-26,Ukraine
1121,2020-06-27,Ukraine
1142,2020-06-28,Ukraine
1161,2020-06-29,Ukraine
1173,2020-06-30,Ukraine
1188,2020-07-01,Ukraine
1200,2020-07-02,Ukraine
1227,2020-07-03,Ukraine
1243,2020-07-04,Ukraine
1265,2020-07-05,Ukraine
1278,2020-07-06,Ukraine
1299,2020-07-07,Ukraine
1323,2020-07-08,Ukraine
1344,2020-07-09,Ukraine
1362,2020-07-10,Ukraine
1389,2020-07-11,Ukraine
1400,2020-07-12,Ukraine
1415,2020-07-13,Ukraine
1429,2020-07-14,Ukraine
1444,2020-07-15,Ukraine
1462,2020-07-16,Ukraine
1473,2020-07-17,Ukraine
1496,2020-07-18,Ukraine
1504,2020-07-19,Ukraine
1517,2020-07-20,Ukraine
1537,2020-07-21,Ukraine
1553,2020-07-22,Ukraine
1570,2020-07-23,Ukraine
1591,2020-07-24,Ukraine
1610,2020-07-25,Ukraine
1625,2020-07-26,Ukraine
1636,2020-07-27,Ukraine
1650,2020-07-28,Ukraine
1673,2020-07-29,Ukraine
1697,2020-07-30,Ukraine
1717,2020-07-31,Ukraine
1733,2020-08-01,Ukraine
1749,2020-08-02,Ukraine
1762,2020-08-03,Ukraine
1788,2020-08-04,Ukraine
1813,2020-08-05,Ukraine
1846,2020-08-06,Ukraine
1879,2020-08-07,Ukraine
1906,2020-08-08,Ukraine
1925,2020-08-09,Ukraine
1950,2020-08-10,Ukraine
1979,2020-08-11,Ukraine
1999,2020-08-12,Ukraine
2023,2020-08-13,Ukraine
2042,2020-08-14,Ukraine
2076,2020-08-15,Ukraine
2100,2020-08-16,Ukraine
2122,2020-08-17,Ukraine
2152,2020-08-18,Ukraine
2182,2020-08-19,Ukraine
2225,2020-08-20,Ukraine
2248,2020-08-21,Ukraine
2286,2020-08-22,Ukraine
2313,2020-08-23,Ukraine
2335,2020-08-24,Ukraine
2362,2020-08-25,Ukraine
2399,2020-08-26,Ukraine
2449,2020-08-27,Ukraine
2499,2020-08-28,Ukraine
2540,2020-08-29,Ukraine
2575,2020-08-30,Ukraine
2605,2020-08-31,Ukraine
2654,2020-09-01,Ukraine
2705,2020-09-02,Ukraine
2759,2020-09-03,Ukraine
2812,2020-09-04,Ukraine
2863,2020-09-05,Ukraine
2898,2020-09-06,Ukraine
2930,2020-09-07,Ukraine
2988,2020-09-08,Ukraine
3034,2020-09-09,Ukraine
3079,2020-09-10,Ukraine
3132,2020-09-11,Ukraine
3206,2020-09-12,Ukraine
3239,2020-09-13,Ukraine
3273,2020-09-14,Ukraine
3326,2020-09-15,Ukraine
3404,2020-09-16,Ukraine
3465,2020-09-17,Ukraine
3535,2020-09-18,Ukraine
3585,2020-09-19,Ukraine
3626,2020-09-20,Ukraine
3652,2020-09-21,Ukraine
3716,2020-09-22,Ukraine
3784,2020-09-23,Ukraine
3838,2020-09-24,Ukraine
3910,2020-09-25,Ukraine
3988,2020-09-26,Ukraine
4044,2020-09-27,Ukraine
4082,2020-09-28,Ukraine
4154,2020-09-29,Ukraine
4221,2020-09-30,Ukraine
4288,2020-10-01,Ukraine
4357,2020-10-02,Ukraine
4451,2020-10-03,Ukraine
4495,2020-10-04,Ukraine
4530,2020-10-05,Ukraine
4624,2020-10-06,Ukraine
4707,2020-10-07,Ukraine
4807,2020-10-08,Ukraine
4899,2020-10-09,Ukraine
5010,2020-10-10,Ukraine
5098,2020-10-11,Ukraine
5143,2020-10-12,Ukraine
5254,2020-10-13,Ukraine
5365,2020-10-14,Ukraine
5443,2020-10-15,Ukraine
5551,2020-10-16,Ukraine
5669,2020-10-17,Ukraine
5762,2020-10-18,Ukraine
5834,2020-10-19,Ukraine
5948,2020-10-20,Ukraine
6093,2020-10-21,Ukraine
6213,2020-10-22,Ukraine
6336,2020-10-23,Ukraine
6463,2020-10-24,Ukraine
6566,2020-10-25,Ukraine
6641,2020-10-26,Ukraine
6770,2020-10-27,Ukraine
6938,2020-10-28,Ukraine
7058,2020-10-29,Ukraine
7235,2020-10-30,Ukraine
7399,2020-10-31,Ukraine
7515,2020-11-01,Ukraine
7584,2020-11-02,Ukraine
7749,2020-11-03,Ukraine
7952,2020-11-04,Ukraine
8148,2020-11-05,Ukraine
8358,2020-11-06,Ukraine
8553,2020-11-07,Ukraine
8695,2020-11-08,Ukraine
8812,2020-11-09,Ukraine
9018,2020-11-10,Ukraine
9214,2020-11-11,Ukraine
9422,2020-11-12,Ukraine
9604,2020-11-13,Ukraine
9806,2020-11-14,Ukraine
9904,2020-11-15,Ukraine
10002,2020-11-16,Ukraine
10168,2020-11-17,Ukraine
10431,2020-11-18,Ukraine
10694,2020-11-19,Ukraine
10929,2020-11-20,Ukraine
11149,2020-11-21,Ukraine
11292,2020-11-22,Ukraine
11423,2020-11-23,Ukraine
11619,2020-11-24,Ukraine
11857,2020-11-25,Ukraine
12091,2020-11-26,Ukraine
12292,2020-11-27,Ukraine
12485,2020-11-28,Ukraine
12613,2020-11-29,Ukraine
12731,2020-11-30,Ukraine
12962,2020-12-01,Ukraine
13140,2020-12-02,Ukraine
13394,2020-12-03,Ukraine
13641,2020-12-04,Ukraine
13877,2020-12-05,Ukraine
14054,2020-12-06,Ukraine
14208,2020-12-07,Ukraine
14413,2020-12-08,Ukraine
14702,2020-12-09,Ukraine
14981,2020-12-10,Ukraine
15278,2020-12-11,Ukraine
15528,2020-12-12,Ukraine
15691,2020-12-13,Ukraine
15792,2020-12-14,Ukraine
16038,2020-12-15,Ukraine
16314,2020-12-16,Ukraine
16579,2020-12-17,Ukraine
16848,2020-12-18,Ukraine
17072,2020-12-19,Ukraine
17201,2020-12-20,Ukraine
17293,2020-12-21,Ukraine
17535,2020-12-22,Ukraine
17823,2020-12-23,Ukraine
18057,2020-12-24,Ukraine
18255,2020-12-25,Ukraine
18389,2020-12-26,Ukraine
18472,2020-12-27,Ukraine
18555,2020-12-28,Ukraine
18801,2020-12-29,Ukraine
19058,2020-12-30,Ukraine
19281,2020-12-31,Ukraine
19437,2021-01-01,Ukraine
19498,2021-01-02,Ukraine
19630,2021-01-03,Ukraine
19712,2021-01-04,Ukraine
19929,2021-01-05,Ukraine
20171,2021-01-06,Ukraine
20334,2021-01-07,Ukraine
20432,2021-01-08,Ukraine
20526,2021-01-09,Ukraine
20641,2021-01-10,Ukraine
20719,2021-01-11,Ukraine
20915,2021-01-12,Ukraine
21121,2021-01-13,Ukraine
21300,2021-01-14,Ukraine
21479,2021-01-15,Ukraine
21637,2021-01-16,Ukraine
21767,2021-01-17,Ukraine
21847,2021-01-18,Ukraine
22037,2021-01-19,Ukraine
22264,2021-01-20,Ukraine
22521,2021-01-21,Ukraine
22698,2021-01-22,Ukraine
22830,2021-01-23,Ukraine
22926,2021-01-24,Ukraine
23001,2021-01-25,Ukraine
23148,2021-01-26,Ukraine
23307,2021-01-27,Ukraine
23469,2021-01-28,Ukraine
23610,2021-01-29,Ukraine
23769,2021-01-30,Ukraine
23860,2021-01-31,Ukraine
23931,2021-02-01,Ukraine
24100,2021-02-02,Ukraine
24276,2021-02-03,Ukraine
24429,2021-02-04,Ukraine
24599,2021-02-05,Ukraine
24735,2021-02-06,Ukraine
24828,2021-02-07,Ukraine
24884,2021-02-08,Ukraine
25022,2021-02-09,Ukraine
25195,2021-02-10,Ukraine
25330,2021-02-11,Ukraine
25457,2021-02-12,Ukraine
25578,2021-02-13,Ukraine
25631,2021-02-14,Ukraine
25702,2021-02-15,Ukraine
25862,2021-02-16,Ukraine
26017,2021-02-17,Ukraine
26191,2021-02-18,Ukraine
26320,2021-02-19,Ukraine
26404,2021-02-20,Ukraine
26470,2021-02-21,Ukraine
26531,2021-02-22,Ukraine
26690,2021-02-23,Ukraine
26847,2021-02-24,Ukraine
26991,2021-02-25,Ukraine
27146,2021-02-26,Ukraine
27306,2021-02-27,Ukraine
27404,2021-02-28,Ukraine
27480,2021-03-01,Ukraine
27650,2021-03-02,Ukraine
27844,2021-03-03,Ukraine
28046,2021-03-04,Ukraine
28227,2021-03-05,Ukraine
28392,2021-03-06,Ukraine
28502,2021-03-07,Ukraine
28616,2021-03-08,Ukraine
28698,2021-03-09,Ukraine
28925,2021-03-10,Ukraine
29195,2021-03-11,Ukraine
29434,2021-03-12,Ukraine
29684,2021-03-13,Ukraine
29835,2021-03-14,Ukraine
29969,2021-03-15,Ukraine
30239,2021-03-16,Ukraine
30535,2021-03-17,Ukraine
30811,2021-03-18,Ukraine
31078,2021-03-19,Ukraine
31344,2021-03-20,Ukraine
31514,2021-03-21,Ukraine
31677,2021-03-22,Ukraine
32018,2021-03-23,Ukraine
32368,2021-03-24,Ukraine
32737,2021-03-25,Ukraine
33068,2021-03-26,Ukraine
33363,2021-03-27,Ukraine
33571,2021-03-28,Ukraine
33752,2021-03-29,Ukraine
34043,2021-03-30,Ukraine
34456,2021-03-31,Ukraine
34885,2021-04-01,Ukraine
35326,2021-04-02,Ukraine
35729,2021-04-03,Ukraine
35994,2021-04-04,Ukraine
36255,2021-04-05,Ukraine
36692,2021-04-06,Ukraine
37178,2021-04-07,Ukraine
37649,2021-04-08,Ukraine
38074,2021-04-09,Ukraine
38479,2021-04-10,Ukraine
38718,2021-04-11,Ukraine
39012,2021-04-12,Ukraine
39477,2021-04-13,Ukraine
39950,2021-04-14,Ukraine
40389,2021-04-15,Ukraine
40832,2021-04-16,Ukraine
41278,2021-04-17,Ukraine
41534,2021-04-18,Ukraine
41755,2021-04-19,Ukraine
42129,2021-04-20,Ukraine
42565,2021-04-21,Ukraine
43041,2021-04-22,Ukraine
43483,2021-04-23,Ukraine
43884,2021-04-24,Ukraine
44121,2021-04-25,Ukraine
44323,2021-04-26,Ukraine
44763,2021-04-27,Ukraine
45211,2021-04-28,Ukraine
45607,2021-04-29,Ukraine
45923,2021-04-30,Ukraine
46281,2021-05-01,Ukraine
46447,2021-05-02,Ukraine
46607,2021-05-03,Ukraine
46781,2021-05-04,Ukraine
46950,2021-05-05,Ukraine
47331,2021-05-06,Ukraine
47717,2021-05-07,Ukraine
48095,2021-05-08,Ukraine
48294,2021-05-09,Ukraine
48419,2021-05-10,Ukraine
48544,2021-05-11,Ukraine
48908,2021-05-12,Ukraine
49261,2021-05-13,Ukraine
49554,2021-05-14,Ukraine
49881,2021-05-15,Ukraine
50867,2021-05-20,Ukraine
51076,2021-05-21,Ukraine
51260,2021-05-22,Ukraine
51353,2021-05-23,Ukraine
51425,2021-05-24,Ukraine
51682,2021-05-25,Ukraine
