Deaths,CreationDate,Name
2,2020-03-20,United Arab Emirates
2,2020-03-21,United Arab Emirates
2,2020-03-22,United Arab Emirates
2,2020-03-23,United Arab Emirates
2,2020-03-24,United Arab Emirates
2,2020-03-25,United Arab Emirates
2,2020-03-26,United Arab Emirates
2,2020-03-27,United Arab Emirates
2,2020-03-28,United Arab Emirates
3,2020-03-29,United Arab Emirates
5,2020-03-30,United Arab Emirates
6,2020-03-31,United Arab Emirates
8,2020-04-01,United Arab Emirates
8,2020-04-02,United Arab Emirates
9,2020-04-03,United Arab Emirates
10,2020-04-04,United Arab Emirates
10,2020-04-05,United Arab Emirates
11,2020-04-06,United Arab Emirates
12,2020-04-07,United Arab Emirates
12,2020-04-08,United Arab Emirates
14,2020-04-09,United Arab Emirates
16,2020-04-10,United Arab Emirates
20,2020-04-11,United Arab Emirates
22,2020-04-12,United Arab Emirates
25,2020-04-13,United Arab Emirates
28,2020-04-14,United Arab Emirates
33,2020-04-15,United Arab Emirates
35,2020-04-16,United Arab Emirates
37,2020-04-17,United Arab Emirates
37,2020-04-18,United Arab Emirates
41,2020-04-19,United Arab Emirates
43,2020-04-20,United Arab Emirates
46,2020-04-21,United Arab Emirates
52,2020-04-22,United Arab Emirates
56,2020-04-23,United Arab Emirates
64,2020-04-24,United Arab Emirates
71,2020-04-25,United Arab Emirates
76,2020-04-26,United Arab Emirates
82,2020-04-27,United Arab Emirates
89,2020-04-28,United Arab Emirates
98,2020-04-29,United Arab Emirates
105,2020-04-30,United Arab Emirates
111,2020-05-01,United Arab Emirates
119,2020-05-02,United Arab Emirates
126,2020-05-03,United Arab Emirates
137,2020-05-04,United Arab Emirates
146,2020-05-05,United Arab Emirates
157,2020-05-06,United Arab Emirates
165,2020-05-07,United Arab Emirates
174,2020-05-08,United Arab Emirates
185,2020-05-09,United Arab Emirates
198,2020-05-10,United Arab Emirates
201,2020-05-11,United Arab Emirates
203,2020-05-12,United Arab Emirates
206,2020-05-13,United Arab Emirates
208,2020-05-14,United Arab Emirates
210,2020-05-15,United Arab Emirates
214,2020-05-16,United Arab Emirates
220,2020-05-17,United Arab Emirates
224,2020-05-18,United Arab Emirates
227,2020-05-19,United Arab Emirates
233,2020-05-20,United Arab Emirates
237,2020-05-21,United Arab Emirates
241,2020-05-22,United Arab Emirates
244,2020-05-23,United Arab Emirates
245,2020-05-24,United Arab Emirates
248,2020-05-25,United Arab Emirates
253,2020-05-26,United Arab Emirates
255,2020-05-27,United Arab Emirates
258,2020-05-28,United Arab Emirates
260,2020-05-29,United Arab Emirates
262,2020-05-30,United Arab Emirates
264,2020-05-31,United Arab Emirates
266,2020-06-01,United Arab Emirates
269,2020-06-02,United Arab Emirates
270,2020-06-03,United Arab Emirates
273,2020-06-04,United Arab Emirates
274,2020-06-05,United Arab Emirates
275,2020-06-06,United Arab Emirates
276,2020-06-07,United Arab Emirates
281,2020-06-08,United Arab Emirates
283,2020-06-09,United Arab Emirates
284,2020-06-10,United Arab Emirates
286,2020-06-11,United Arab Emirates
287,2020-06-12,United Arab Emirates
288,2020-06-13,United Arab Emirates
289,2020-06-14,United Arab Emirates
291,2020-06-15,United Arab Emirates
293,2020-06-16,United Arab Emirates
295,2020-06-17,United Arab Emirates
298,2020-06-18,United Arab Emirates
300,2020-06-19,United Arab Emirates
301,2020-06-20,United Arab Emirates
302,2020-06-21,United Arab Emirates
303,2020-06-22,United Arab Emirates
305,2020-06-23,United Arab Emirates
307,2020-06-24,United Arab Emirates
308,2020-06-25,United Arab Emirates
310,2020-06-26,United Arab Emirates
311,2020-06-27,United Arab Emirates
313,2020-06-28,United Arab Emirates
314,2020-06-29,United Arab Emirates
315,2020-06-30,United Arab Emirates
316,2020-07-01,United Arab Emirates
317,2020-07-02,United Arab Emirates
318,2020-07-03,United Arab Emirates
321,2020-07-04,United Arab Emirates
323,2020-07-05,United Arab Emirates
324,2020-07-06,United Arab Emirates
326,2020-07-07,United Arab Emirates
327,2020-07-08,United Arab Emirates
328,2020-07-09,United Arab Emirates
330,2020-07-10,United Arab Emirates
331,2020-07-11,United Arab Emirates
333,2020-07-12,United Arab Emirates
334,2020-07-13,United Arab Emirates
335,2020-07-14,United Arab Emirates
335,2020-07-15,United Arab Emirates
335,2020-07-16,United Arab Emirates
337,2020-07-17,United Arab Emirates
338,2020-07-18,United Arab Emirates
339,2020-07-19,United Arab Emirates
340,2020-07-20,United Arab Emirates
341,2020-07-21,United Arab Emirates
342,2020-07-22,United Arab Emirates
342,2020-07-23,United Arab Emirates
343,2020-07-24,United Arab Emirates
343,2020-07-25,United Arab Emirates
344,2020-07-26,United Arab Emirates
345,2020-07-27,United Arab Emirates
347,2020-07-28,United Arab Emirates
347,2020-07-29,United Arab Emirates
349,2020-07-30,United Arab Emirates
351,2020-07-31,United Arab Emirates
351,2020-08-01,United Arab Emirates
351,2020-08-02,United Arab Emirates
351,2020-08-03,United Arab Emirates
351,2020-08-04,United Arab Emirates
353,2020-08-05,United Arab Emirates
354,2020-08-06,United Arab Emirates
356,2020-08-07,United Arab Emirates
356,2020-08-08,United Arab Emirates
357,2020-08-09,United Arab Emirates
357,2020-08-10,United Arab Emirates
358,2020-08-11,United Arab Emirates
358,2020-08-12,United Arab Emirates
358,2020-08-13,United Arab Emirates
359,2020-08-14,United Arab Emirates
361,2020-08-15,United Arab Emirates
