Deaths,CreationDate,Name
1,2020-03-06,United Kingdom of Great Britain and Northern Ireland
2,2020-03-07,United Kingdom of Great Britain and Northern Ireland
2,2020-03-08,United Kingdom of Great Britain and Northern Ireland
3,2020-03-09,United Kingdom of Great Britain and Northern Ireland
7,2020-03-10,United Kingdom of Great Britain and Northern Ireland
7,2020-03-11,United Kingdom of Great Britain and Northern Ireland
9,2020-03-12,United Kingdom of Great Britain and Northern Ireland
10,2020-03-13,United Kingdom of Great Britain and Northern Ireland
29,2020-03-14,United Kingdom of Great Britain and Northern Ireland
43,2020-03-15,United Kingdom of Great Britain and Northern Ireland
65,2020-03-16,United Kingdom of Great Britain and Northern Ireland
82,2020-03-17,United Kingdom of Great Britain and Northern Ireland
116,2020-03-18,United Kingdom of Great Britain and Northern Ireland
162,2020-03-19,United Kingdom of Great Britain and Northern Ireland
194,2020-03-20,United Kingdom of Great Britain and Northern Ireland
252,2020-03-21,United Kingdom of Great Britain and Northern Ireland
288,2020-03-22,United Kingdom of Great Britain and Northern Ireland
364,2020-03-23,United Kingdom of Great Britain and Northern Ireland
512,2020-03-24,United Kingdom of Great Britain and Northern Ireland
703,2020-03-25,United Kingdom of Great Britain and Northern Ireland
884,2020-03-26,United Kingdom of Great Britain and Northern Ireland
1172,2020-03-27,United Kingdom of Great Britain and Northern Ireland
1464,2020-03-28,United Kingdom of Great Britain and Northern Ireland
1676,2020-03-29,United Kingdom of Great Britain and Northern Ireland
2050,2020-03-30,United Kingdom of Great Britain and Northern Ireland
2453,2020-03-31,United Kingdom of Great Britain and Northern Ireland
3125,2020-04-01,United Kingdom of Great Britain and Northern Ireland
3782,2020-04-02,United Kingdom of Great Britain and Northern Ireland
4518,2020-04-03,United Kingdom of Great Britain and Northern Ireland
5274,2020-04-04,United Kingdom of Great Britain and Northern Ireland
5873,2020-04-05,United Kingdom of Great Britain and Northern Ireland
6440,2020-04-06,United Kingdom of Great Britain and Northern Ireland
7545,2020-04-07,United Kingdom of Great Britain and Northern Ireland
8575,2020-04-08,United Kingdom of Great Britain and Northern Ireland
9691,2020-04-09,United Kingdom of Great Britain and Northern Ireland
10813,2020-04-10,United Kingdom of Great Britain and Northern Ireland
11656,2020-04-11,United Kingdom of Great Britain and Northern Ireland
12313,2020-04-12,United Kingdom of Great Britain and Northern Ireland
13037,2020-04-13,United Kingdom of Great Britain and Northern Ireland
14113,2020-04-14,United Kingdom of Great Britain and Northern Ireland
14993,2020-04-15,United Kingdom of Great Britain and Northern Ireland
16029,2020-04-16,United Kingdom of Great Britain and Northern Ireland
16942,2020-04-17,United Kingdom of Great Britain and Northern Ireland
18047,2020-04-18,United Kingdom of Great Britain and Northern Ireland
18479,2020-04-19,United Kingdom of Great Britain and Northern Ireland
19049,2020-04-20,United Kingdom of Great Britain and Northern Ireland
20273,2020-04-21,United Kingdom of Great Britain and Northern Ireland
21120,2020-04-22,United Kingdom of Great Britain and Northern Ireland
21802,2020-04-23,United Kingdom of Great Britain and Northern Ireland
22812,2020-04-24,United Kingdom of Great Britain and Northern Ireland
23627,2020-04-25,United Kingdom of Great Britain and Northern Ireland
23991,2020-04-26,United Kingdom of Great Britain and Northern Ireland
24311,2020-04-27,United Kingdom of Great Britain and Northern Ireland
25280,2020-04-28,United Kingdom of Great Britain and Northern Ireland
26049,2020-04-29,United Kingdom of Great Britain and Northern Ireland
26683,2020-04-30,United Kingdom of Great Britain and Northern Ireland
27381,2020-05-01,United Kingdom of Great Britain and Northern Ireland
27965,2020-05-02,United Kingdom of Great Britain and Northern Ireland
28218,2020-05-03,United Kingdom of Great Britain and Northern Ireland
28490,2020-05-04,United Kingdom of Great Britain and Northern Ireland
29216,2020-05-05,United Kingdom of Great Britain and Northern Ireland
29863,2020-05-06,United Kingdom of Great Britain and Northern Ireland
30321,2020-05-07,United Kingdom of Great Britain and Northern Ireland
30900,2020-05-08,United Kingdom of Great Britain and Northern Ireland
31175,2020-05-09,United Kingdom of Great Britain and Northern Ireland
31392,2020-05-10,United Kingdom of Great Britain and Northern Ireland
31579,2020-05-11,United Kingdom of Great Britain and Northern Ireland
32193,2020-05-12,United Kingdom of Great Britain and Northern Ireland
32640,2020-05-13,United Kingdom of Great Britain and Northern Ireland
32992,2020-05-14,United Kingdom of Great Britain and Northern Ireland
33342,2020-05-15,United Kingdom of Great Britain and Northern Ireland
33753,2020-05-16,United Kingdom of Great Britain and Northern Ireland
33820,2020-05-17,United Kingdom of Great Britain and Northern Ireland
33966,2020-05-18,United Kingdom of Great Britain and Northern Ireland
34466,2020-05-19,United Kingdom of Great Britain and Northern Ireland
34794,2020-05-20,United Kingdom of Great Britain and Northern Ireland
35067,2020-05-21,United Kingdom of Great Britain and Northern Ireland
35358,2020-05-22,United Kingdom of Great Britain and Northern Ireland
35578,2020-05-23,United Kingdom of Great Britain and Northern Ireland
35957,2020-05-24,United Kingdom of Great Britain and Northern Ireland
36061,2020-05-25,United Kingdom of Great Britain and Northern Ireland
36192,2020-05-26,United Kingdom of Great Britain and Northern Ireland
36614,2020-05-27,United Kingdom of Great Britain and Northern Ireland
36957,2020-05-28,United Kingdom of Great Britain and Northern Ireland
37231,2020-05-29,United Kingdom of Great Britain and Northern Ireland
37385,2020-05-30,United Kingdom of Great Britain and Northern Ireland
37445,2020-05-31,United Kingdom of Great Britain and Northern Ireland
37531,2020-06-01,United Kingdom of Great Britain and Northern Ireland
37780,2020-06-02,United Kingdom of Great Britain and Northern Ireland
38034,2020-06-03,United Kingdom of Great Britain and Northern Ireland
38164,2020-06-04,United Kingdom of Great Britain and Northern Ireland
38422,2020-06-05,United Kingdom of Great Britain and Northern Ireland
38565,2020-06-06,United Kingdom of Great Britain and Northern Ireland
38619,2020-06-07,United Kingdom of Great Britain and Northern Ireland
38666,2020-06-08,United Kingdom of Great Britain and Northern Ireland
38861,2020-06-09,United Kingdom of Great Britain and Northern Ireland
39025,2020-06-10,United Kingdom of Great Britain and Northern Ireland
39101,2020-06-11,United Kingdom of Great Britain and Northern Ireland
39232,2020-06-12,United Kingdom of Great Britain and Northern Ireland
39339,2020-06-13,United Kingdom of Great Britain and Northern Ireland
39366,2020-06-14,United Kingdom of Great Britain and Northern Ireland
39395,2020-06-15,United Kingdom of Great Britain and Northern Ireland
39515,2020-06-16,United Kingdom of Great Britain and Northern Ireland
39625,2020-06-17,United Kingdom of Great Britain and Northern Ireland
39692,2020-06-18,United Kingdom of Great Britain and Northern Ireland
39776,2020-06-19,United Kingdom of Great Britain and Northern Ireland
39847,2020-06-20,United Kingdom of Great Britain and Northern Ireland
39878,2020-06-21,United Kingdom of Great Britain and Northern Ireland
39892,2020-06-22,United Kingdom of Great Britain and Northern Ireland
39986,2020-06-23,United Kingdom of Great Britain and Northern Ireland
40073,2020-06-24,United Kingdom of Great Britain and Northern Ireland
40172,2020-06-25,United Kingdom of Great Britain and Northern Ireland
40249,2020-06-26,United Kingdom of Great Britain and Northern Ireland
40289,2020-06-27,United Kingdom of Great Britain and Northern Ireland
40320,2020-06-28,United Kingdom of Great Britain and Northern Ireland
40341,2020-06-29,United Kingdom of Great Britain and Northern Ireland
40394,2020-06-30,United Kingdom of Great Britain and Northern Ireland
40491,2020-07-01,United Kingdom of Great Britain and Northern Ireland
40532,2020-07-02,United Kingdom of Great Britain and Northern Ireland
40581,2020-07-03,United Kingdom of Great Britain and Northern Ireland
40613,2020-07-04,United Kingdom of Great Britain and Northern Ireland
40632,2020-07-05,United Kingdom of Great Britain and Northern Ireland
40643,2020-07-06,United Kingdom of Great Britain and Northern Ireland
40697,2020-07-07,United Kingdom of Great Britain and Northern Ireland
40754,2020-07-08,United Kingdom of Great Britain and Northern Ireland
40785,2020-07-09,United Kingdom of Great Britain and Northern Ireland
40819,2020-07-10,United Kingdom of Great Britain and Northern Ireland
40836,2020-07-11,United Kingdom of Great Britain and Northern Ireland
40845,2020-07-12,United Kingdom of Great Britain and Northern Ireland
40855,2020-07-13,United Kingdom of Great Britain and Northern Ireland
40899,2020-07-14,United Kingdom of Great Britain and Northern Ireland
40925,2020-07-15,United Kingdom of Great Britain and Northern Ireland
40949,2020-07-16,United Kingdom of Great Britain and Northern Ireland
40975,2020-07-17,United Kingdom of Great Britain and Northern Ireland
40984,2020-07-18,United Kingdom of Great Britain and Northern Ireland
40995,2020-07-19,United Kingdom of Great Britain and Northern Ireland
41005,2020-07-20,United Kingdom of Great Britain and Northern Ireland
41030,2020-07-21,United Kingdom of Great Britain and Northern Ireland
41047,2020-07-22,United Kingdom of Great Britain and Northern Ireland
41056,2020-07-23,United Kingdom of Great Britain and Northern Ireland
41088,2020-07-24,United Kingdom of Great Britain and Northern Ireland
41103,2020-07-25,United Kingdom of Great Britain and Northern Ireland
41111,2020-07-26,United Kingdom of Great Britain and Northern Ireland
41114,2020-07-27,United Kingdom of Great Britain and Northern Ireland
41135,2020-07-28,United Kingdom of Great Britain and Northern Ireland
41169,2020-07-29,United Kingdom of Great Britain and Northern Ireland
41169,2020-07-30,United Kingdom of Great Britain and Northern Ireland
41189,2020-07-31,United Kingdom of Great Britain and Northern Ireland
41202,2020-08-01,United Kingdom of Great Britain and Northern Ireland
41207,2020-08-02,United Kingdom of Great Britain and Northern Ireland
41208,2020-08-03,United Kingdom of Great Britain and Northern Ireland
41226,2020-08-04,United Kingdom of Great Britain and Northern Ireland
41240,2020-08-05,United Kingdom of Great Britain and Northern Ireland
41258,2020-08-06,United Kingdom of Great Britain and Northern Ireland
41270,2020-08-07,United Kingdom of Great Britain and Northern Ireland
41273,2020-08-08,United Kingdom of Great Britain and Northern Ireland
41278,2020-08-09,United Kingdom of Great Britain and Northern Ireland
41296,2020-08-10,United Kingdom of Great Britain and Northern Ireland
41309,2020-08-11,United Kingdom of Great Britain and Northern Ireland
41329,2020-08-12,United Kingdom of Great Britain and Northern Ireland
41347,2020-08-13,United Kingdom of Great Britain and Northern Ireland
41358,2020-08-14,United Kingdom of Great Britain and Northern Ireland
41361,2020-08-15,United Kingdom of Great Britain and Northern Ireland
41366,2020-08-16,United Kingdom of Great Britain and Northern Ireland
41369,2020-08-17,United Kingdom of Great Britain and Northern Ireland
41381,2020-08-18,United Kingdom of Great Britain and Northern Ireland
41397,2020-08-19,United Kingdom of Great Britain and Northern Ireland
41403,2020-08-20,United Kingdom of Great Britain and Northern Ireland
41405,2020-08-21,United Kingdom of Great Britain and Northern Ireland
41423,2020-08-22,United Kingdom of Great Britain and Northern Ireland
41429,2020-08-23,United Kingdom of Great Britain and Northern Ireland
41433,2020-08-24,United Kingdom of Great Britain and Northern Ireland
41449,2020-08-25,United Kingdom of Great Britain and Northern Ireland
41465,2020-08-26,United Kingdom of Great Britain and Northern Ireland
41477,2020-08-27,United Kingdom of Great Britain and Northern Ireland
41486,2020-08-28,United Kingdom of Great Britain and Northern Ireland
41498,2020-08-29,United Kingdom of Great Britain and Northern Ireland
41499,2020-08-30,United Kingdom of Great Britain and Northern Ireland
41501,2020-08-31,United Kingdom of Great Britain and Northern Ireland
41504,2020-09-01,United Kingdom of Great Britain and Northern Ireland
41514,2020-09-02,United Kingdom of Great Britain and Northern Ireland
41527,2020-09-03,United Kingdom of Great Britain and Northern Ireland
41537,2020-09-04,United Kingdom of Great Britain and Northern Ireland
41549,2020-09-05,United Kingdom of Great Britain and Northern Ireland
41551,2020-09-06,United Kingdom of Great Britain and Northern Ireland
41554,2020-09-07,United Kingdom of Great Britain and Northern Ireland
41586,2020-09-08,United Kingdom of Great Britain and Northern Ireland
41594,2020-09-09,United Kingdom of Great Britain and Northern Ireland
41608,2020-09-10,United Kingdom of Great Britain and Northern Ireland
41614,2020-09-11,United Kingdom of Great Britain and Northern Ireland
41623,2020-09-12,United Kingdom of Great Britain and Northern Ireland
41628,2020-09-13,United Kingdom of Great Britain and Northern Ireland
41637,2020-09-14,United Kingdom of Great Britain and Northern Ireland
41664,2020-09-15,United Kingdom of Great Britain and Northern Ireland
41684,2020-09-16,United Kingdom of Great Britain and Northern Ireland
41705,2020-09-17,United Kingdom of Great Britain and Northern Ireland
41732,2020-09-18,United Kingdom of Great Britain and Northern Ireland
41759,2020-09-19,United Kingdom of Great Britain and Northern Ireland
41777,2020-09-20,United Kingdom of Great Britain and Northern Ireland
41788,2020-09-21,United Kingdom of Great Britain and Northern Ireland
41825,2020-09-22,United Kingdom of Great Britain and Northern Ireland
41862,2020-09-23,United Kingdom of Great Britain and Northern Ireland
41902,2020-09-24,United Kingdom of Great Britain and Northern Ireland
41936,2020-09-25,United Kingdom of Great Britain and Northern Ireland
41971,2020-09-26,United Kingdom of Great Britain and Northern Ireland
41988,2020-09-27,United Kingdom of Great Britain and Northern Ireland
42001,2020-09-28,United Kingdom of Great Britain and Northern Ireland
42072,2020-09-29,United Kingdom of Great Britain and Northern Ireland
42143,2020-09-30,United Kingdom of Great Britain and Northern Ireland
42202,2020-10-01,United Kingdom of Great Britain and Northern Ireland
42268,2020-10-02,United Kingdom of Great Britain and Northern Ireland
42317,2020-10-03,United Kingdom of Great Britain and Northern Ireland
42350,2020-10-04,United Kingdom of Great Britain and Northern Ireland
42369,2020-10-05,United Kingdom of Great Britain and Northern Ireland
42445,2020-10-06,United Kingdom of Great Britain and Northern Ireland
42515,2020-10-07,United Kingdom of Great Britain and Northern Ireland
42592,2020-10-08,United Kingdom of Great Britain and Northern Ireland
