Deaths,CreationDate,Name
1,2020-02-29,United States of America
1,2020-03-01,United States of America
6,2020-03-02,United States of America
7,2020-03-03,United States of America
11,2020-03-04,United States of America
12,2020-03-05,United States of America
14,2020-03-06,United States of America
17,2020-03-07,United States of America
21,2020-03-08,United States of America
22,2020-03-09,United States of America
28,2020-03-10,United States of America
33,2020-03-11,United States of America
43,2020-03-12,United States of America
51,2020-03-13,United States of America
58,2020-03-14,United States of America
70,2020-03-15,United States of America
97,2020-03-16,United States of America
134,2020-03-17,United States of America
194,2020-03-18,United States of America
266,2020-03-19,United States of America
372,2020-03-20,United States of America
475,2020-03-21,United States of America
597,2020-03-22,United States of America
789,2020-03-23,United States of America
1032,2020-03-24,United States of America
1365,2020-03-25,United States of America
1784,2020-03-26,United States of America
2306,2020-03-27,United States of America
2948,2020-03-28,United States of America
3572,2020-03-29,United States of America
4285,2020-03-30,United States of America
5370,2020-03-31,United States of America
6653,2020-04-01,United States of America
8165,2020-04-02,United States of America
9596,2020-04-03,United States of America
11159,2020-04-04,United States of America
12774,2020-04-05,United States of America
14545,2020-04-06,United States of America
17120,2020-04-07,United States of America
19280,2020-04-08,United States of America
21483,2020-04-09,United States of America
23677,2020-04-10,United States of America
25804,2020-04-11,United States of America
27678,2020-04-12,United States of America
29687,2020-04-13,United States of America
32122,2020-04-14,United States of America
34734,2020-04-15,United States of America
36877,2020-04-16,United States of America
38987,2020-04-17,United States of America
40960,2020-04-18,United States of America
42931,2020-04-19,United States of America
45161,2020-04-20,United States of America
47675,2020-04-21,United States of America
50135,2020-04-22,United States of America
52591,2020-04-23,United States of America
54779,2020-04-24,United States of America
56490,2020-04-25,United States of America
57889,2020-04-26,United States of America
59397,2020-04-27,United States of America
61621,2020-04-28,United States of America
64039,2020-04-29,United States of America
66235,2020-04-30,United States of America
68144,2020-05-01,United States of America
69875,2020-05-02,United States of America
71065,2020-05-03,United States of America
72445,2020-05-04,United States of America
74687,2020-05-05,United States of America
77001,2020-05-06,United States of America
78930,2020-05-07,United States of America
80693,2020-05-08,United States of America
82161,2020-05-09,United States of America
83139,2020-05-10,United States of America
84181,2020-05-11,United States of America
85780,2020-05-12,United States of America
87507,2020-05-13,United States of America
89303,2020-05-14,United States of America
90971,2020-05-15,United States of America
92169,2020-05-16,United States of America
92990,2020-05-17,United States of America
94217,2020-05-18,United States of America
95673,2020-05-19,United States of America
97174,2020-05-20,United States of America
98359,2020-05-21,United States of America
99576,2020-05-22,United States of America
100666,2020-05-23,United States of America
101305,2020-05-24,United States of America
101897,2020-05-25,United States of America
102574,2020-05-26,United States of America
104037,2020-05-27,United States of America
105138,2020-05-28,United States of America
106271,2020-05-29,United States of America
107225,2020-05-30,United States of America
107840,2020-05-31,United States of America
108616,2020-06-01,United States of America
109597,2020-06-02,United States of America
110607,2020-06-03,United States of America
111620,2020-06-04,United States of America
112511,2020-06-05,United States of America
113153,2020-06-06,United States of America
113612,2020-06-07,United States of America
114119,2020-06-08,United States of America
115032,2020-06-09,United States of America
115908,2020-06-10,United States of America
116738,2020-06-11,United States of America
117567,2020-06-12,United States of America
118302,2020-06-13,United States of America
118647,2020-06-14,United States of America
119043,2020-06-15,United States of America
119857,2020-06-16,United States of America
120596,2020-06-17,United States of America
121285,2020-06-18,United States of America
121914,2020-06-19,United States of America
122473,2020-06-20,United States of America
122790,2020-06-21,United States of America
123197,2020-06-22,United States of America
123945,2020-06-23,United States of America
124682,2020-06-24,United States of America
125219,2020-06-25,United States of America
125848,2020-06-26,United States of America
126351,2020-06-27,United States of America
126669,2020-06-28,United States of America
127054,2020-06-29,United States of America
127607,2020-06-30,United States of America
128311,2020-07-01,United States of America
129024,2020-07-02,United States of America
129694,2020-07-03,United States of America
130009,2020-07-04,United States of America
130335,2020-07-05,United States of America
130711,2020-07-06,United States of America
131873,2020-07-07,United States of America
132698,2020-07-08,United States of America
133718,2020-07-09,United States of America
134535,2020-07-10,United States of America
135263,2020-07-11,United States of America
135735,2020-07-12,United States of America
136180,2020-07-13,United States of America
137108,2020-07-14,United States of America
138083,2020-07-15,United States of America
139039,2020-07-16,United States of America
139963,2020-07-17,United States of America
140820,2020-07-18,United States of America
141303,2020-07-19,United States of America
141866,2020-07-20,United States of America
142957,2020-07-21,United States of America
144181,2020-07-22,United States of America
145251,2020-07-23,United States of America
146358,2020-07-24,United States of America
147288,2020-07-25,United States of America
147819,2020-07-26,United States of America
148945,2020-07-27,United States of America
150275,2020-07-28,United States of America
151689,2020-07-29,United States of America
152920,2020-07-30,United States of America
154157,2020-07-31,United States of America
155250,2020-08-01,United States of America
155687,2020-08-02,United States of America
156268,2020-08-03,United States of America
157550,2020-08-04,United States of America
158988,2020-08-05,United States of America
160232,2020-08-06,United States of America
161469,2020-08-07,United States of America
162547,2020-08-08,United States of America
163071,2020-08-09,United States of America
163706,2020-08-10,United States of America
164726,2020-08-11,United States of America
166225,2020-08-12,United States of America
167292,2020-08-13,United States of America
168629,2020-08-14,United States of America
169629,2020-08-15,United States of America
170246,2020-08-16,United States of America
170739,2020-08-17,United States of America
171965,2020-08-18,United States of America
173304,2020-08-19,United States of America
174407,2020-08-20,United States of America
175498,2020-08-21,United States of America
176407,2020-08-22,United States of America
176952,2020-08-23,United States of America
177425,2020-08-24,United States of America
178661,2020-08-25,United States of America
179827,2020-08-26,United States of America
180943,2020-08-27,United States of America
181920,2020-08-28,United States of America
182822,2020-08-29,United States of America
183276,2020-08-30,United States of America
183818,2020-08-31,United States of America
184846,2020-09-01,United States of America
185925,2020-09-02,United States of America
186962,2020-09-03,United States of America
187920,2020-09-04,United States of America
188682,2020-09-05,United States of America
189152,2020-09-06,United States of America
189448,2020-09-07,United States of America
189900,2020-09-08,United States of America
191060,2020-09-09,United States of America
191976,2020-09-10,United States of America
193150,2020-09-11,United States of America
193852,2020-09-12,United States of America
194287,2020-09-13,United States of America
194718,2020-09-14,United States of America
195918,2020-09-15,United States of America
196874,2020-09-16,United States of America
197735,2020-09-17,United States of America
198631,2020-09-18,United States of America
