Deaths,CreationDate,Name
1,2020-03-28,Uruguay
1,2020-03-29,Uruguay
1,2020-03-30,Uruguay
1,2020-03-31,Uruguay
2,2020-04-01,Uruguay
4,2020-04-02,Uruguay
4,2020-04-03,Uruguay
5,2020-04-04,Uruguay
6,2020-04-05,Uruguay
6,2020-04-06,Uruguay
7,2020-04-07,Uruguay
7,2020-04-08,Uruguay
7,2020-04-09,Uruguay
7,2020-04-10,Uruguay
7,2020-04-11,Uruguay
7,2020-04-12,Uruguay
8,2020-04-13,Uruguay
8,2020-04-14,Uruguay
9,2020-04-15,Uruguay
9,2020-04-16,Uruguay
9,2020-04-17,Uruguay
9,2020-04-18,Uruguay
10,2020-04-19,Uruguay
10,2020-04-20,Uruguay
12,2020-04-21,Uruguay
12,2020-04-22,Uruguay
12,2020-04-23,Uruguay
12,2020-04-24,Uruguay
14,2020-04-25,Uruguay
15,2020-04-26,Uruguay
15,2020-04-27,Uruguay
15,2020-04-28,Uruguay
15,2020-04-29,Uruguay
17,2020-04-30,Uruguay
17,2020-05-01,Uruguay
17,2020-05-02,Uruguay
17,2020-05-03,Uruguay
17,2020-05-04,Uruguay
17,2020-05-05,Uruguay
17,2020-05-06,Uruguay
17,2020-05-07,Uruguay
18,2020-05-08,Uruguay
18,2020-05-09,Uruguay
19,2020-05-10,Uruguay
19,2020-05-11,Uruguay
19,2020-05-12,Uruguay
19,2020-05-13,Uruguay
19,2020-05-14,Uruguay
19,2020-05-15,Uruguay
19,2020-05-16,Uruguay
20,2020-05-17,Uruguay
20,2020-05-18,Uruguay
20,2020-05-19,Uruguay
20,2020-05-20,Uruguay
20,2020-05-21,Uruguay
20,2020-05-22,Uruguay
22,2020-05-23,Uruguay
22,2020-05-24,Uruguay
22,2020-05-25,Uruguay
22,2020-05-26,Uruguay
22,2020-05-27,Uruguay
22,2020-05-28,Uruguay
22,2020-05-29,Uruguay
22,2020-05-30,Uruguay
22,2020-05-31,Uruguay
23,2020-06-01,Uruguay
23,2020-06-02,Uruguay
23,2020-06-03,Uruguay
23,2020-06-04,Uruguay
23,2020-06-05,Uruguay
23,2020-06-06,Uruguay
23,2020-06-07,Uruguay
23,2020-06-08,Uruguay
23,2020-06-09,Uruguay
23,2020-06-10,Uruguay
23,2020-06-11,Uruguay
23,2020-06-12,Uruguay
23,2020-06-13,Uruguay
23,2020-06-14,Uruguay
23,2020-06-15,Uruguay
24,2020-06-16,Uruguay
24,2020-06-17,Uruguay
24,2020-06-18,Uruguay
24,2020-06-19,Uruguay
25,2020-06-20,Uruguay
25,2020-06-21,Uruguay
25,2020-06-22,Uruguay
25,2020-06-23,Uruguay
26,2020-06-24,Uruguay
26,2020-06-25,Uruguay
26,2020-06-26,Uruguay
26,2020-06-27,Uruguay
27,2020-06-28,Uruguay
27,2020-06-29,Uruguay
27,2020-06-30,Uruguay
28,2020-07-01,Uruguay
28,2020-07-02,Uruguay
28,2020-07-03,Uruguay
28,2020-07-04,Uruguay
28,2020-07-05,Uruguay
29,2020-07-06,Uruguay
29,2020-07-07,Uruguay
29,2020-07-08,Uruguay
29,2020-07-09,Uruguay
29,2020-07-10,Uruguay
30,2020-07-11,Uruguay
31,2020-07-12,Uruguay
31,2020-07-13,Uruguay
31,2020-07-14,Uruguay
31,2020-07-15,Uruguay
32,2020-07-16,Uruguay
32,2020-07-17,Uruguay
33,2020-07-18,Uruguay
33,2020-07-19,Uruguay
33,2020-07-20,Uruguay
33,2020-07-21,Uruguay
34,2020-07-22,Uruguay
34,2020-07-23,Uruguay
34,2020-07-24,Uruguay
34,2020-07-25,Uruguay
34,2020-07-26,Uruguay
35,2020-07-27,Uruguay
35,2020-07-28,Uruguay
35,2020-07-29,Uruguay
35,2020-07-30,Uruguay
35,2020-07-31,Uruguay
35,2020-08-01,Uruguay
36,2020-08-02,Uruguay
36,2020-08-03,Uruguay
37,2020-08-04,Uruguay
37,2020-08-05,Uruguay
37,2020-08-06,Uruguay
37,2020-08-07,Uruguay
37,2020-08-08,Uruguay
37,2020-08-09,Uruguay
37,2020-08-10,Uruguay
37,2020-08-11,Uruguay
37,2020-08-12,Uruguay
37,2020-08-13,Uruguay
38,2020-08-14,Uruguay
38,2020-08-15,Uruguay
38,2020-08-16,Uruguay
40,2020-08-17,Uruguay
40,2020-08-18,Uruguay
40,2020-08-19,Uruguay
41,2020-08-20,Uruguay
42,2020-08-21,Uruguay
42,2020-08-22,Uruguay
42,2020-08-23,Uruguay
42,2020-08-24,Uruguay
43,2020-08-25,Uruguay
43,2020-08-26,Uruguay
43,2020-08-27,Uruguay
43,2020-08-28,Uruguay
44,2020-08-29,Uruguay
44,2020-08-30,Uruguay
44,2020-08-31,Uruguay
44,2020-09-01,Uruguay
44,2020-09-02,Uruguay
44,2020-09-03,Uruguay
45,2020-09-04,Uruguay
45,2020-09-05,Uruguay
45,2020-09-06,Uruguay
45,2020-09-07,Uruguay
45,2020-09-08,Uruguay
45,2020-09-09,Uruguay
45,2020-09-10,Uruguay
45,2020-09-11,Uruguay
45,2020-09-12,Uruguay
45,2020-09-13,Uruguay
45,2020-09-14,Uruguay
45,2020-09-15,Uruguay
45,2020-09-16,Uruguay
46,2020-09-17,Uruguay
46,2020-09-18,Uruguay
46,2020-09-19,Uruguay
46,2020-09-20,Uruguay
46,2020-09-21,Uruguay
46,2020-09-22,Uruguay
47,2020-09-23,Uruguay
47,2020-09-24,Uruguay
47,2020-09-25,Uruguay
47,2020-09-26,Uruguay
47,2020-09-27,Uruguay
47,2020-09-28,Uruguay
48,2020-09-29,Uruguay
48,2020-09-30,Uruguay
48,2020-10-01,Uruguay
48,2020-10-02,Uruguay
48,2020-10-03,Uruguay
48,2020-10-04,Uruguay
48,2020-10-05,Uruguay
49,2020-10-06,Uruguay
49,2020-10-07,Uruguay
49,2020-10-08,Uruguay
49,2020-10-09,Uruguay
