Deaths,CreationDate,Name
1,2020-03-27,Uzbekistan
2,2020-03-28,Uzbekistan
2,2020-03-29,Uzbekistan
2,2020-03-30,Uzbekistan
2,2020-03-31,Uzbekistan
2,2020-04-01,Uzbekistan
2,2020-04-02,Uzbekistan
2,2020-04-03,Uzbekistan
2,2020-04-04,Uzbekistan
2,2020-04-05,Uzbekistan
2,2020-04-06,Uzbekistan
2,2020-04-07,Uzbekistan
3,2020-04-08,Uzbekistan
3,2020-04-09,Uzbekistan
3,2020-04-10,Uzbekistan
4,2020-04-11,Uzbekistan
4,2020-04-12,Uzbekistan
4,2020-04-13,Uzbekistan
4,2020-04-14,Uzbekistan
4,2020-04-15,Uzbekistan
4,2020-04-16,Uzbekistan
4,2020-04-17,Uzbekistan
5,2020-04-18,Uzbekistan
5,2020-04-19,Uzbekistan
5,2020-04-20,Uzbekistan
6,2020-04-21,Uzbekistan
7,2020-04-22,Uzbekistan
7,2020-04-23,Uzbekistan
8,2020-04-24,Uzbekistan
8,2020-04-25,Uzbekistan
8,2020-04-26,Uzbekistan
8,2020-04-27,Uzbekistan
8,2020-04-28,Uzbekistan
9,2020-04-29,Uzbekistan
9,2020-04-30,Uzbekistan
9,2020-05-01,Uzbekistan
9,2020-05-02,Uzbekistan
10,2020-05-03,Uzbekistan
10,2020-05-04,Uzbekistan
10,2020-05-05,Uzbekistan
10,2020-05-06,Uzbekistan
10,2020-05-07,Uzbekistan
10,2020-05-08,Uzbekistan
10,2020-05-09,Uzbekistan
10,2020-05-10,Uzbekistan
10,2020-05-11,Uzbekistan
10,2020-05-12,Uzbekistan
11,2020-05-13,Uzbekistan
11,2020-05-14,Uzbekistan
11,2020-05-15,Uzbekistan
11,2020-05-16,Uzbekistan
12,2020-05-17,Uzbekistan
13,2020-05-18,Uzbekistan
13,2020-05-19,Uzbekistan
13,2020-05-20,Uzbekistan
13,2020-05-21,Uzbekistan
13,2020-05-22,Uzbekistan
13,2020-05-23,Uzbekistan
13,2020-05-24,Uzbekistan
13,2020-05-25,Uzbekistan
14,2020-05-26,Uzbekistan
14,2020-05-27,Uzbekistan
14,2020-05-28,Uzbekistan
14,2020-05-29,Uzbekistan
14,2020-05-30,Uzbekistan
15,2020-05-31,Uzbekistan
15,2020-06-01,Uzbekistan
15,2020-06-02,Uzbekistan
16,2020-06-03,Uzbekistan
16,2020-06-04,Uzbekistan
16,2020-06-05,Uzbekistan
17,2020-06-06,Uzbekistan
17,2020-06-07,Uzbekistan
18,2020-06-08,Uzbekistan
18,2020-06-09,Uzbekistan
19,2020-06-10,Uzbekistan
19,2020-06-11,Uzbekistan
19,2020-06-12,Uzbekistan
19,2020-06-13,Uzbekistan
19,2020-06-14,Uzbekistan
19,2020-06-15,Uzbekistan
19,2020-06-16,Uzbekistan
19,2020-06-17,Uzbekistan
19,2020-06-18,Uzbekistan
19,2020-06-19,Uzbekistan
19,2020-06-20,Uzbekistan
19,2020-06-21,Uzbekistan
19,2020-06-22,Uzbekistan
19,2020-06-23,Uzbekistan
19,2020-06-24,Uzbekistan
20,2020-06-25,Uzbekistan
20,2020-06-26,Uzbekistan
20,2020-06-27,Uzbekistan
22,2020-06-28,Uzbekistan
23,2020-06-29,Uzbekistan
26,2020-06-30,Uzbekistan
26,2020-07-01,Uzbekistan
27,2020-07-02,Uzbekistan
29,2020-07-03,Uzbekistan
31,2020-07-04,Uzbekistan
34,2020-07-05,Uzbekistan
37,2020-07-06,Uzbekistan
41,2020-07-07,Uzbekistan
45,2020-07-08,Uzbekistan
51,2020-07-09,Uzbekistan
54,2020-07-10,Uzbekistan
57,2020-07-11,Uzbekistan
60,2020-07-12,Uzbekistan
64,2020-07-13,Uzbekistan
67,2020-07-14,Uzbekistan
71,2020-07-15,Uzbekistan
75,2020-07-16,Uzbekistan
79,2020-07-17,Uzbekistan
83,2020-07-18,Uzbekistan
87,2020-07-19,Uzbekistan
90,2020-07-20,Uzbekistan
95,2020-07-21,Uzbekistan
98,2020-07-22,Uzbekistan
103,2020-07-23,Uzbekistan
106,2020-07-24,Uzbekistan
111,2020-07-25,Uzbekistan
116,2020-07-26,Uzbekistan
121,2020-07-27,Uzbekistan
124,2020-07-28,Uzbekistan
131,2020-07-29,Uzbekistan
136,2020-07-30,Uzbekistan
141,2020-07-31,Uzbekistan
147,2020-08-01,Uzbekistan
151,2020-08-02,Uzbekistan
157,2020-08-03,Uzbekistan
165,2020-08-04,Uzbekistan
171,2020-08-05,Uzbekistan
175,2020-08-06,Uzbekistan
181,2020-08-07,Uzbekistan
187,2020-08-08,Uzbekistan
194,2020-08-09,Uzbekistan
200,2020-08-10,Uzbekistan
204,2020-08-11,Uzbekistan
211,2020-08-12,Uzbekistan
216,2020-08-13,Uzbekistan
220,2020-08-14,Uzbekistan
225,2020-08-15,Uzbekistan
232,2020-08-16,Uzbekistan
236,2020-08-17,Uzbekistan
242,2020-08-18,Uzbekistan
248,2020-08-19,Uzbekistan
252,2020-08-20,Uzbekistan
260,2020-08-21,Uzbekistan
267,2020-08-22,Uzbekistan
273,2020-08-23,Uzbekistan
280,2020-08-24,Uzbekistan
284,2020-08-25,Uzbekistan
291,2020-08-26,Uzbekistan
298,2020-08-27,Uzbekistan
302,2020-08-28,Uzbekistan
307,2020-08-29,Uzbekistan
313,2020-08-30,Uzbekistan
320,2020-08-31,Uzbekistan
323,2020-09-01,Uzbekistan
