Deaths,CreationDate,Name
1,2021-04-21,Vanuatu
1,2021-04-22,Vanuatu
1,2021-04-23,Vanuatu
1,2021-04-24,Vanuatu
1,2021-04-25,Vanuatu
1,2021-04-26,Vanuatu
1,2021-04-27,Vanuatu
1,2021-04-28,Vanuatu
1,2021-04-29,Vanuatu
1,2021-04-30,Vanuatu
1,2021-05-01,Vanuatu
1,2021-05-02,Vanuatu
1,2021-05-03,Vanuatu
1,2021-05-04,Vanuatu
1,2021-05-05,Vanuatu
1,2021-05-06,Vanuatu
1,2021-05-07,Vanuatu
1,2021-05-08,Vanuatu
1,2021-05-09,Vanuatu
1,2021-05-10,Vanuatu
1,2021-05-11,Vanuatu
1,2021-05-12,Vanuatu
1,2021-05-13,Vanuatu
1,2021-05-20,Vanuatu
1,2021-05-21,Vanuatu
1,2021-05-22,Vanuatu
1,2021-05-23,Vanuatu
1,2021-05-24,Vanuatu
1,2021-05-25,Vanuatu
