Deaths,CreationDate,Name
1,2020-03-27,Venezuela
2,2020-03-28,Venezuela
2,2020-03-29,Venezuela
3,2020-03-30,Venezuela
3,2020-03-31,Venezuela
3,2020-04-01,Venezuela
5,2020-04-02,Venezuela
7,2020-04-03,Venezuela
7,2020-04-04,Venezuela
7,2020-04-05,Venezuela
7,2020-04-06,Venezuela
7,2020-04-07,Venezuela
9,2020-04-08,Venezuela
9,2020-04-09,Venezuela
9,2020-04-10,Venezuela
9,2020-04-11,Venezuela
9,2020-04-12,Venezuela
9,2020-04-13,Venezuela
9,2020-04-14,Venezuela
9,2020-04-15,Venezuela
9,2020-04-16,Venezuela
9,2020-04-17,Venezuela
9,2020-04-18,Venezuela
9,2020-04-19,Venezuela
9,2020-04-20,Venezuela
10,2020-04-21,Venezuela
10,2020-04-22,Venezuela
10,2020-04-23,Venezuela
10,2020-04-24,Venezuela
10,2020-04-25,Venezuela
10,2020-04-26,Venezuela
10,2020-04-27,Venezuela
10,2020-04-28,Venezuela
10,2020-04-29,Venezuela
16,2020-04-30,Venezuela
10,2020-05-01,Venezuela
10,2020-05-02,Venezuela
10,2020-05-03,Venezuela
10,2020-05-04,Venezuela
10,2020-05-05,Venezuela
10,2020-05-06,Venezuela
10,2020-05-07,Venezuela
10,2020-05-08,Venezuela
10,2020-05-09,Venezuela
10,2020-05-10,Venezuela
10,2020-05-11,Venezuela
10,2020-05-12,Venezuela
10,2020-05-13,Venezuela
10,2020-05-14,Venezuela
10,2020-05-15,Venezuela
10,2020-05-16,Venezuela
10,2020-05-17,Venezuela
10,2020-05-18,Venezuela
10,2020-05-19,Venezuela
10,2020-05-20,Venezuela
10,2020-05-21,Venezuela
10,2020-05-22,Venezuela
10,2020-05-23,Venezuela
10,2020-05-24,Venezuela
10,2020-05-25,Venezuela
11,2020-05-26,Venezuela
11,2020-05-27,Venezuela
11,2020-05-28,Venezuela
14,2020-05-29,Venezuela
14,2020-05-30,Venezuela
14,2020-05-31,Venezuela
17,2020-06-01,Venezuela
18,2020-06-02,Venezuela
20,2020-06-03,Venezuela
20,2020-06-04,Venezuela
20,2020-06-05,Venezuela
22,2020-06-06,Venezuela
22,2020-06-07,Venezuela
22,2020-06-08,Venezuela
23,2020-06-09,Venezuela
23,2020-06-10,Venezuela
23,2020-06-11,Venezuela
23,2020-06-12,Venezuela
24,2020-06-13,Venezuela
25,2020-06-14,Venezuela
26,2020-06-15,Venezuela
27,2020-06-16,Venezuela
28,2020-06-17,Venezuela
28,2020-06-18,Venezuela
30,2020-06-19,Venezuela
33,2020-06-20,Venezuela
33,2020-06-21,Venezuela
35,2020-06-22,Venezuela
35,2020-06-23,Venezuela
38,2020-06-24,Venezuela
39,2020-06-25,Venezuela
41,2020-06-26,Venezuela
42,2020-06-27,Venezuela
44,2020-06-28,Venezuela
48,2020-06-29,Venezuela
51,2020-06-30,Venezuela
54,2020-07-01,Venezuela
57,2020-07-02,Venezuela
59,2020-07-03,Venezuela
62,2020-07-04,Venezuela
65,2020-07-05,Venezuela
68,2020-07-06,Venezuela
71,2020-07-07,Venezuela
75,2020-07-08,Venezuela
80,2020-07-09,Venezuela
83,2020-07-10,Venezuela
85,2020-07-11,Venezuela
89,2020-07-12,Venezuela
93,2020-07-13,Venezuela
96,2020-07-14,Venezuela
100,2020-07-15,Venezuela
104,2020-07-16,Venezuela
107,2020-07-17,Venezuela
110,2020-07-18,Venezuela
112,2020-07-19,Venezuela
116,2020-07-20,Venezuela
120,2020-07-21,Venezuela
124,2020-07-22,Venezuela
129,2020-07-23,Venezuela
134,2020-07-24,Venezuela
138,2020-07-25,Venezuela
142,2020-07-26,Venezuela
146,2020-07-27,Venezuela
151,2020-07-28,Venezuela
156,2020-07-29,Venezuela
158,2020-07-30,Venezuela
164,2020-07-31,Venezuela
169,2020-08-01,Venezuela
174,2020-08-02,Venezuela
180,2020-08-03,Venezuela
187,2020-08-04,Venezuela
195,2020-08-05,Venezuela
202,2020-08-06,Venezuela
208,2020-08-07,Venezuela
215,2020-08-08,Venezuela
223,2020-08-09,Venezuela
229,2020-08-10,Venezuela
238,2020-08-11,Venezuela
247,2020-08-12,Venezuela
259,2020-08-13,Venezuela
266,2020-08-14,Venezuela
276,2020-08-15,Venezuela
