Deaths,CreationDate,Name
3,2020-07-31,Viet Nam
3,2020-08-01,Viet Nam
6,2020-08-02,Viet Nam
7,2020-08-03,Viet Nam
8,2020-08-04,Viet Nam
9,2020-08-05,Viet Nam
10,2020-08-06,Viet Nam
10,2020-08-07,Viet Nam
10,2020-08-08,Viet Nam
13,2020-08-09,Viet Nam
15,2020-08-10,Viet Nam
16,2020-08-11,Viet Nam
18,2020-08-12,Viet Nam
21,2020-08-13,Viet Nam
22,2020-08-14,Viet Nam
24,2020-08-15,Viet Nam
24,2020-08-16,Viet Nam
25,2020-08-17,Viet Nam
26,2020-08-18,Viet Nam
25,2020-08-19,Viet Nam
25,2020-08-20,Viet Nam
25,2020-08-21,Viet Nam
26,2020-08-22,Viet Nam
27,2020-08-23,Viet Nam
27,2020-08-24,Viet Nam
27,2020-08-25,Viet Nam
30,2020-08-26,Viet Nam
30,2020-08-27,Viet Nam
30,2020-08-28,Viet Nam
32,2020-08-29,Viet Nam
32,2020-08-30,Viet Nam
34,2020-08-31,Viet Nam
34,2020-09-01,Viet Nam
34,2020-09-02,Viet Nam
35,2020-09-03,Viet Nam
35,2020-09-04,Viet Nam
35,2020-09-05,Viet Nam
35,2020-09-06,Viet Nam
35,2020-09-07,Viet Nam
35,2020-09-08,Viet Nam
35,2020-09-09,Viet Nam
35,2020-09-10,Viet Nam
35,2020-09-11,Viet Nam
35,2020-09-12,Viet Nam
35,2020-09-13,Viet Nam
35,2020-09-14,Viet Nam
35,2020-09-15,Viet Nam
35,2020-09-16,Viet Nam
35,2020-09-17,Viet Nam
35,2020-09-18,Viet Nam
35,2020-09-19,Viet Nam
35,2020-09-20,Viet Nam
35,2020-09-21,Viet Nam
35,2020-09-22,Viet Nam
35,2020-09-23,Viet Nam
35,2020-09-24,Viet Nam
35,2020-09-25,Viet Nam
35,2020-09-26,Viet Nam
35,2020-09-27,Viet Nam
35,2020-09-28,Viet Nam
35,2020-09-29,Viet Nam
35,2020-09-30,Viet Nam
35,2020-10-01,Viet Nam
35,2020-10-02,Viet Nam
35,2020-10-03,Viet Nam
35,2020-10-04,Viet Nam
35,2020-10-05,Viet Nam
35,2020-10-06,Viet Nam
35,2020-10-07,Viet Nam
35,2020-10-08,Viet Nam
35,2020-10-09,Viet Nam
35,2020-10-10,Viet Nam
35,2020-10-11,Viet Nam
35,2020-10-12,Viet Nam
35,2020-10-13,Viet Nam
35,2020-10-14,Viet Nam
35,2020-10-15,Viet Nam
35,2020-10-16,Viet Nam
35,2020-10-17,Viet Nam
35,2020-10-18,Viet Nam
35,2020-10-19,Viet Nam
35,2020-10-20,Viet Nam
35,2020-10-21,Viet Nam
35,2020-10-22,Viet Nam
35,2020-10-23,Viet Nam
35,2020-10-24,Viet Nam
35,2020-10-25,Viet Nam
35,2020-10-26,Viet Nam
35,2020-10-27,Viet Nam
35,2020-10-28,Viet Nam
35,2020-10-29,Viet Nam
35,2020-10-30,Viet Nam
35,2020-10-31,Viet Nam
35,2020-11-01,Viet Nam
35,2020-11-02,Viet Nam
35,2020-11-03,Viet Nam
35,2020-11-04,Viet Nam
35,2020-11-05,Viet Nam
35,2020-11-06,Viet Nam
35,2020-11-07,Viet Nam
35,2020-11-08,Viet Nam
35,2020-11-09,Viet Nam
35,2020-11-10,Viet Nam
35,2020-11-11,Viet Nam
35,2020-11-12,Viet Nam
35,2020-11-13,Viet Nam
35,2020-11-14,Viet Nam
35,2020-11-15,Viet Nam
35,2020-11-16,Viet Nam
35,2020-11-17,Viet Nam
35,2020-11-18,Viet Nam
35,2020-11-19,Viet Nam
35,2020-11-20,Viet Nam
35,2020-11-21,Viet Nam
35,2020-11-22,Viet Nam
35,2020-11-23,Viet Nam
35,2020-11-24,Viet Nam
35,2020-11-25,Viet Nam
35,2020-11-26,Viet Nam
35,2020-11-27,Viet Nam
35,2020-11-28,Viet Nam
35,2020-11-29,Viet Nam
35,2020-11-30,Viet Nam
35,2020-12-01,Viet Nam
35,2020-12-02,Viet Nam
35,2020-12-03,Viet Nam
35,2020-12-04,Viet Nam
35,2020-12-05,Viet Nam
35,2020-12-06,Viet Nam
35,2020-12-07,Viet Nam
35,2020-12-08,Viet Nam
35,2020-12-09,Viet Nam
35,2020-12-10,Viet Nam
35,2020-12-11,Viet Nam
35,2020-12-12,Viet Nam
35,2020-12-13,Viet Nam
35,2020-12-14,Viet Nam
35,2020-12-15,Viet Nam
35,2020-12-16,Viet Nam
35,2020-12-17,Viet Nam
35,2020-12-18,Viet Nam
35,2020-12-19,Viet Nam
35,2020-12-20,Viet Nam
35,2020-12-21,Viet Nam
35,2020-12-22,Viet Nam
