Deaths,CreationDate,Name
1,2020-04-05,Virgin Islands (U.S.)
1,2020-04-06,Virgin Islands (U.S.)
1,2020-04-07,Virgin Islands (U.S.)
1,2020-04-08,Virgin Islands (U.S.)
1,2020-04-09,Virgin Islands (U.S.)
1,2020-04-10,Virgin Islands (U.S.)
1,2020-04-11,Virgin Islands (U.S.)
1,2020-04-12,Virgin Islands (U.S.)
1,2020-04-13,Virgin Islands (U.S.)
1,2020-04-14,Virgin Islands (U.S.)
1,2020-04-15,Virgin Islands (U.S.)
1,2020-04-16,Virgin Islands (U.S.)
2,2020-04-17,Virgin Islands (U.S.)
3,2020-04-18,Virgin Islands (U.S.)
3,2020-04-19,Virgin Islands (U.S.)
3,2020-04-20,Virgin Islands (U.S.)
3,2020-04-21,Virgin Islands (U.S.)
3,2020-04-22,Virgin Islands (U.S.)
3,2020-04-23,Virgin Islands (U.S.)
3,2020-04-24,Virgin Islands (U.S.)
3,2020-04-25,Virgin Islands (U.S.)
4,2020-04-26,Virgin Islands (U.S.)
4,2020-04-27,Virgin Islands (U.S.)
4,2020-04-28,Virgin Islands (U.S.)
4,2020-04-29,Virgin Islands (U.S.)
4,2020-04-30,Virgin Islands (U.S.)
4,2020-05-01,Virgin Islands (U.S.)
4,2020-05-02,Virgin Islands (U.S.)
4,2020-05-03,Virgin Islands (U.S.)
4,2020-05-04,Virgin Islands (U.S.)
4,2020-05-05,Virgin Islands (U.S.)
4,2020-05-06,Virgin Islands (U.S.)
4,2020-05-07,Virgin Islands (U.S.)
4,2020-05-08,Virgin Islands (U.S.)
4,2020-05-09,Virgin Islands (U.S.)
4,2020-05-10,Virgin Islands (U.S.)
5,2020-05-11,Virgin Islands (U.S.)
6,2020-05-12,Virgin Islands (U.S.)
6,2020-05-13,Virgin Islands (U.S.)
6,2020-05-14,Virgin Islands (U.S.)
6,2020-05-15,Virgin Islands (U.S.)
6,2020-05-16,Virgin Islands (U.S.)
6,2020-05-17,Virgin Islands (U.S.)
6,2020-05-18,Virgin Islands (U.S.)
6,2020-05-19,Virgin Islands (U.S.)
6,2020-05-20,Virgin Islands (U.S.)
6,2020-05-21,Virgin Islands (U.S.)
6,2020-05-22,Virgin Islands (U.S.)
6,2020-05-23,Virgin Islands (U.S.)
6,2020-05-24,Virgin Islands (U.S.)
6,2020-05-25,Virgin Islands (U.S.)
6,2020-05-26,Virgin Islands (U.S.)
6,2020-05-27,Virgin Islands (U.S.)
6,2020-05-28,Virgin Islands (U.S.)
6,2020-05-29,Virgin Islands (U.S.)
6,2020-05-30,Virgin Islands (U.S.)
6,2020-05-31,Virgin Islands (U.S.)
6,2020-06-01,Virgin Islands (U.S.)
6,2020-06-02,Virgin Islands (U.S.)
6,2020-06-03,Virgin Islands (U.S.)
6,2020-06-04,Virgin Islands (U.S.)
6,2020-06-05,Virgin Islands (U.S.)
6,2020-06-06,Virgin Islands (U.S.)
6,2020-06-07,Virgin Islands (U.S.)
6,2020-06-08,Virgin Islands (U.S.)
6,2020-06-09,Virgin Islands (U.S.)
6,2020-06-10,Virgin Islands (U.S.)
6,2020-06-11,Virgin Islands (U.S.)
6,2020-06-12,Virgin Islands (U.S.)
6,2020-06-13,Virgin Islands (U.S.)
6,2020-06-14,Virgin Islands (U.S.)
6,2020-06-15,Virgin Islands (U.S.)
6,2020-06-16,Virgin Islands (U.S.)
6,2020-06-17,Virgin Islands (U.S.)
6,2020-06-18,Virgin Islands (U.S.)
6,2020-06-19,Virgin Islands (U.S.)
6,2020-06-20,Virgin Islands (U.S.)
6,2020-06-21,Virgin Islands (U.S.)
6,2020-06-22,Virgin Islands (U.S.)
6,2020-06-23,Virgin Islands (U.S.)
6,2020-06-24,Virgin Islands (U.S.)
6,2020-06-25,Virgin Islands (U.S.)
6,2020-06-26,Virgin Islands (U.S.)
6,2020-06-27,Virgin Islands (U.S.)
6,2020-06-28,Virgin Islands (U.S.)
6,2020-06-29,Virgin Islands (U.S.)
6,2020-06-30,Virgin Islands (U.S.)
6,2020-07-01,Virgin Islands (U.S.)
6,2020-07-02,Virgin Islands (U.S.)
6,2020-07-03,Virgin Islands (U.S.)
6,2020-07-04,Virgin Islands (U.S.)
6,2020-07-05,Virgin Islands (U.S.)
6,2020-07-06,Virgin Islands (U.S.)
6,2020-07-07,Virgin Islands (U.S.)
6,2020-07-08,Virgin Islands (U.S.)
6,2020-07-09,Virgin Islands (U.S.)
6,2020-07-10,Virgin Islands (U.S.)
6,2020-07-11,Virgin Islands (U.S.)
6,2020-07-12,Virgin Islands (U.S.)
6,2020-07-13,Virgin Islands (U.S.)
6,2020-07-14,Virgin Islands (U.S.)
6,2020-07-15,Virgin Islands (U.S.)
6,2020-07-16,Virgin Islands (U.S.)
6,2020-07-17,Virgin Islands (U.S.)
6,2020-07-18,Virgin Islands (U.S.)
6,2020-07-19,Virgin Islands (U.S.)
6,2020-07-20,Virgin Islands (U.S.)
6,2020-07-21,Virgin Islands (U.S.)
7,2020-07-22,Virgin Islands (U.S.)
7,2020-07-23,Virgin Islands (U.S.)
7,2020-07-24,Virgin Islands (U.S.)
7,2020-07-25,Virgin Islands (U.S.)
7,2020-07-26,Virgin Islands (U.S.)
7,2020-07-27,Virgin Islands (U.S.)
7,2020-07-28,Virgin Islands (U.S.)
8,2020-07-29,Virgin Islands (U.S.)
8,2020-07-30,Virgin Islands (U.S.)
8,2020-07-31,Virgin Islands (U.S.)
8,2020-08-01,Virgin Islands (U.S.)
8,2020-08-02,Virgin Islands (U.S.)
8,2020-08-03,Virgin Islands (U.S.)
8,2020-08-04,Virgin Islands (U.S.)
8,2020-08-05,Virgin Islands (U.S.)
9,2020-08-06,Virgin Islands (U.S.)
9,2020-08-07,Virgin Islands (U.S.)
9,2020-08-08,Virgin Islands (U.S.)
9,2020-08-09,Virgin Islands (U.S.)
9,2020-08-10,Virgin Islands (U.S.)
9,2020-08-11,Virgin Islands (U.S.)
9,2020-08-12,Virgin Islands (U.S.)
9,2020-08-13,Virgin Islands (U.S.)
9,2020-08-14,Virgin Islands (U.S.)
9,2020-08-15,Virgin Islands (U.S.)
9,2020-08-16,Virgin Islands (U.S.)
9,2020-08-17,Virgin Islands (U.S.)
9,2020-08-18,Virgin Islands (U.S.)
9,2020-08-19,Virgin Islands (U.S.)
10,2020-08-20,Virgin Islands (U.S.)
10,2020-08-21,Virgin Islands (U.S.)
10,2020-08-22,Virgin Islands (U.S.)
11,2020-08-23,Virgin Islands (U.S.)
