Deaths,CreationDate,Name
2,2020-04-30,Yemen
2,2020-05-01,Yemen
2,2020-05-02,Yemen
2,2020-05-03,Yemen
2,2020-05-04,Yemen
3,2020-05-05,Yemen
5,2020-05-06,Yemen
5,2020-05-07,Yemen
5,2020-05-08,Yemen
7,2020-05-09,Yemen
8,2020-05-10,Yemen
9,2020-05-11,Yemen
10,2020-05-12,Yemen
12,2020-05-13,Yemen
12,2020-05-14,Yemen
15,2020-05-15,Yemen
18,2020-05-16,Yemen
20,2020-05-17,Yemen
20,2020-05-18,Yemen
28,2020-05-19,Yemen
29,2020-05-20,Yemen
33,2020-05-21,Yemen
33,2020-05-22,Yemen
39,2020-05-23,Yemen
42,2020-05-24,Yemen
44,2020-05-25,Yemen
49,2020-05-26,Yemen
53,2020-05-27,Yemen
57,2020-05-28,Yemen
65,2020-05-29,Yemen
77,2020-05-30,Yemen
80,2020-05-31,Yemen
84,2020-06-01,Yemen
87,2020-06-02,Yemen
95,2020-06-03,Yemen
103,2020-06-04,Yemen
111,2020-06-05,Yemen
111,2020-06-06,Yemen
112,2020-06-07,Yemen
112,2020-06-08,Yemen
127,2020-06-09,Yemen
129,2020-06-10,Yemen
136,2020-06-11,Yemen
139,2020-06-12,Yemen
160,2020-06-13,Yemen
164,2020-06-14,Yemen
208,2020-06-15,Yemen
214,2020-06-16,Yemen
244,2020-06-17,Yemen
248,2020-06-18,Yemen
251,2020-06-19,Yemen
254,2020-06-20,Yemen
256,2020-06-21,Yemen
257,2020-06-22,Yemen
261,2020-06-23,Yemen
274,2020-06-24,Yemen
288,2020-06-25,Yemen
293,2020-06-26,Yemen
296,2020-06-27,Yemen
302,2020-06-28,Yemen
304,2020-06-29,Yemen
312,2020-06-30,Yemen
318,2020-07-01,Yemen
325,2020-07-02,Yemen
335,2020-07-03,Yemen
337,2020-07-04,Yemen
338,2020-07-05,Yemen
345,2020-07-06,Yemen
348,2020-07-07,Yemen
351,2020-07-08,Yemen
361,2020-07-09,Yemen
364,2020-07-10,Yemen
365,2020-07-11,Yemen
417,2020-07-12,Yemen
424,2020-07-13,Yemen
429,2020-07-14,Yemen
433,2020-07-15,Yemen
438,2020-07-16,Yemen
440,2020-07-17,Yemen
443,2020-07-18,Yemen
445,2020-07-19,Yemen
447,2020-07-20,Yemen
456,2020-07-21,Yemen
458,2020-07-22,Yemen
461,2020-07-23,Yemen
469,2020-07-24,Yemen
474,2020-07-25,Yemen
479,2020-07-26,Yemen
483,2020-07-27,Yemen
484,2020-07-28,Yemen
485,2020-07-29,Yemen
487,2020-07-30,Yemen
493,2020-07-31,Yemen
494,2020-08-01,Yemen
497,2020-08-02,Yemen
499,2020-08-03,Yemen
506,2020-08-04,Yemen
508,2020-08-05,Yemen
508,2020-08-06,Yemen
512,2020-08-07,Yemen
512,2020-08-08,Yemen
515,2020-08-09,Yemen
518,2020-08-10,Yemen
523,2020-08-11,Yemen
528,2020-08-12,Yemen
528,2020-08-13,Yemen
528,2020-08-14,Yemen
528,2020-08-15,Yemen
530,2020-08-16,Yemen
535,2020-08-17,Yemen
537,2020-08-18,Yemen
539,2020-08-19,Yemen
541,2020-08-20,Yemen
542,2020-08-21,Yemen
546,2020-08-22,Yemen
553,2020-08-23,Yemen
555,2020-08-24,Yemen
557,2020-08-25,Yemen
560,2020-08-26,Yemen
562,2020-08-27,Yemen
563,2020-08-28,Yemen
563,2020-08-29,Yemen
564,2020-08-30,Yemen
566,2020-08-31,Yemen
570,2020-09-01,Yemen
571,2020-09-02,Yemen
571,2020-09-03,Yemen
572,2020-09-04,Yemen
572,2020-09-05,Yemen
572,2020-09-06,Yemen
573,2020-09-07,Yemen
576,2020-09-08,Yemen
576,2020-09-09,Yemen
580,2020-09-10,Yemen
582,2020-09-11,Yemen
582,2020-09-12,Yemen
583,2020-09-13,Yemen
583,2020-09-14,Yemen
583,2020-09-15,Yemen
583,2020-09-16,Yemen
585,2020-09-17,Yemen
585,2020-09-18,Yemen
585,2020-09-19,Yemen
586,2020-09-20,Yemen
586,2020-09-21,Yemen
586,2020-09-22,Yemen
586,2020-09-23,Yemen
586,2020-09-24,Yemen
587,2020-09-25,Yemen
587,2020-09-26,Yemen
587,2020-09-27,Yemen
587,2020-09-28,Yemen
587,2020-09-29,Yemen
587,2020-09-30,Yemen
587,2020-10-01,Yemen
589,2020-10-02,Yemen
589,2020-10-03,Yemen
591,2020-10-04,Yemen
592,2020-10-05,Yemen
593,2020-10-06,Yemen
593,2020-10-07,Yemen
593,2020-10-08,Yemen
593,2020-10-09,Yemen
595,2020-10-10,Yemen
595,2020-10-11,Yemen
596,2020-10-12,Yemen
596,2020-10-13,Yemen
596,2020-10-14,Yemen
596,2020-10-15,Yemen
596,2020-10-16,Yemen
596,2020-10-17,Yemen
597,2020-10-18,Yemen
597,2020-10-19,Yemen
597,2020-10-20,Yemen
597,2020-10-21,Yemen
597,2020-10-22,Yemen
599,2020-10-23,Yemen
599,2020-10-24,Yemen
599,2020-10-25,Yemen
599,2020-10-26,Yemen
599,2020-10-27,Yemen
599,2020-10-28,Yemen
599,2020-10-29,Yemen
599,2020-10-30,Yemen
599,2020-10-31,Yemen
600,2020-11-01,Yemen
601,2020-11-02,Yemen
601,2020-11-03,Yemen
601,2020-11-04,Yemen
601,2020-11-05,Yemen
601,2020-11-06,Yemen
601,2020-11-07,Yemen
601,2020-11-08,Yemen
601,2020-11-09,Yemen
601,2020-11-10,Yemen
601,2020-11-11,Yemen
602,2020-11-12,Yemen
602,2020-11-13,Yemen
602,2020-11-14,Yemen
603,2020-11-15,Yemen
603,2020-11-16,Yemen
603,2020-11-17,Yemen
603,2020-11-18,Yemen
604,2020-11-19,Yemen
604,2020-11-20,Yemen
604,2020-11-21,Yemen
604,2020-11-22,Yemen
604,2020-11-23,Yemen
604,2020-11-24,Yemen
604,2020-11-25,Yemen
604,2020-11-26,Yemen
604,2020-11-27,Yemen
604,2020-11-28,Yemen
605,2020-11-29,Yemen
605,2020-11-30,Yemen
605,2020-12-01,Yemen
605,2020-12-02,Yemen
606,2020-12-03,Yemen
606,2020-12-04,Yemen
606,2020-12-05,Yemen
606,2020-12-06,Yemen
606,2020-12-07,Yemen
606,2020-12-08,Yemen
606,2020-12-09,Yemen
606,2020-12-10,Yemen
606,2020-12-11,Yemen
606,2020-12-12,Yemen
606,2020-12-13,Yemen
606,2020-12-14,Yemen
606,2020-12-15,Yemen
606,2020-12-16,Yemen
606,2020-12-17,Yemen
606,2020-12-18,Yemen
606,2020-12-19,Yemen
606,2020-12-20,Yemen
606,2020-12-21,Yemen
606,2020-12-22,Yemen
606,2020-12-23,Yemen
606,2020-12-24,Yemen
606,2020-12-25,Yemen
606,2020-12-26,Yemen
607,2020-12-27,Yemen
608,2020-12-28,Yemen
610,2020-12-29,Yemen
610,2020-12-30,Yemen
610,2020-12-31,Yemen
610,2021-01-01,Yemen
610,2021-01-02,Yemen
610,2021-01-03,Yemen
610,2021-01-04,Yemen
610,2021-01-05,Yemen
610,2021-01-06,Yemen
610,2021-01-07,Yemen
610,2021-01-08,Yemen
610,2021-01-09,Yemen
611,2021-01-10,Yemen
612,2021-01-11,Yemen
612,2021-01-12,Yemen
612,2021-01-13,Yemen
612,2021-01-14,Yemen
612,2021-01-15,Yemen
612,2021-01-16,Yemen
612,2021-01-17,Yemen
612,2021-01-18,Yemen
612,2021-01-19,Yemen
612,2021-01-20,Yemen
614,2021-01-21,Yemen
614,2021-01-22,Yemen
615,2021-01-23,Yemen
615,2021-01-24,Yemen
615,2021-01-25,Yemen
615,2021-01-26,Yemen
615,2021-01-27,Yemen
615,2021-01-28,Yemen
615,2021-01-29,Yemen
615,2021-01-30,Yemen
615,2021-01-31,Yemen
615,2021-02-01,Yemen
615,2021-02-02,Yemen
615,2021-02-03,Yemen
615,2021-02-04,Yemen
615,2021-02-05,Yemen
615,2021-02-06,Yemen
615,2021-02-07,Yemen
615,2021-02-08,Yemen
615,2021-02-09,Yemen
616,2021-02-10,Yemen
616,2021-02-11,Yemen
616,2021-02-12,Yemen
616,2021-02-13,Yemen
617,2021-02-14,Yemen
617,2021-02-15,Yemen
618,2021-02-16,Yemen
618,2021-02-17,Yemen
618,2021-02-18,Yemen
618,2021-02-19,Yemen
618,2021-02-20,Yemen
619,2021-02-21,Yemen
619,2021-02-22,Yemen
620,2021-02-23,Yemen
624,2021-02-24,Yemen
625,2021-02-25,Yemen
627,2021-02-26,Yemen
631,2021-02-27,Yemen
634,2021-02-28,Yemen
634,2021-03-01,Yemen
640,2021-03-02,Yemen
643,2021-03-03,Yemen
645,2021-03-04,Yemen
648,2021-03-05,Yemen
650,2021-03-06,Yemen
651,2021-03-07,Yemen
653,2021-03-08,Yemen
654,2021-03-09,Yemen
661,2021-03-10,Yemen
667,2021-03-11,Yemen
679,2021-03-12,Yemen
683,2021-03-13,Yemen
689,2021-03-14,Yemen
698,2021-03-15,Yemen
707,2021-03-16,Yemen
713,2021-03-17,Yemen
723,2021-03-18,Yemen
733,2021-03-19,Yemen
737,2021-03-20,Yemen
751,2021-03-21,Yemen
771,2021-03-22,Yemen
785,2021-03-23,Yemen
800,2021-03-24,Yemen
810,2021-03-25,Yemen
820,2021-03-26,Yemen
832,2021-03-27,Yemen
851,2021-03-28,Yemen
