Deaths,CreationDate,Name
1,2020-04-02,Zambia
1,2020-04-03,Zambia
1,2020-04-04,Zambia
1,2020-04-05,Zambia
1,2020-04-06,Zambia
1,2020-04-07,Zambia
1,2020-04-08,Zambia
1,2020-04-09,Zambia
2,2020-04-10,Zambia
2,2020-04-11,Zambia
2,2020-04-12,Zambia
2,2020-04-13,Zambia
2,2020-04-14,Zambia
2,2020-04-15,Zambia
2,2020-04-16,Zambia
2,2020-04-17,Zambia
2,2020-04-18,Zambia
3,2020-04-19,Zambia
3,2020-04-20,Zambia
3,2020-04-21,Zambia
3,2020-04-22,Zambia
3,2020-04-23,Zambia
3,2020-04-24,Zambia
3,2020-04-25,Zambia
3,2020-04-26,Zambia
3,2020-04-27,Zambia
3,2020-04-28,Zambia
3,2020-04-29,Zambia
3,2020-04-30,Zambia
3,2020-05-01,Zambia
3,2020-05-02,Zambia
3,2020-05-03,Zambia
3,2020-05-04,Zambia
3,2020-05-05,Zambia
4,2020-05-06,Zambia
4,2020-05-07,Zambia
4,2020-05-08,Zambia
7,2020-05-09,Zambia
7,2020-05-10,Zambia
7,2020-05-11,Zambia
7,2020-05-12,Zambia
7,2020-05-13,Zambia
7,2020-05-14,Zambia
7,2020-05-15,Zambia
7,2020-05-16,Zambia
7,2020-05-17,Zambia
7,2020-05-18,Zambia
7,2020-05-19,Zambia
7,2020-05-20,Zambia
7,2020-05-21,Zambia
7,2020-05-22,Zambia
7,2020-05-23,Zambia
7,2020-05-24,Zambia
7,2020-05-25,Zambia
7,2020-05-26,Zambia
7,2020-05-27,Zambia
7,2020-05-28,Zambia
7,2020-05-29,Zambia
7,2020-05-30,Zambia
7,2020-05-31,Zambia
7,2020-06-01,Zambia
7,2020-06-02,Zambia
7,2020-06-03,Zambia
7,2020-06-04,Zambia
7,2020-06-05,Zambia
7,2020-06-06,Zambia
7,2020-06-07,Zambia
10,2020-06-08,Zambia
10,2020-06-09,Zambia
10,2020-06-10,Zambia
10,2020-06-11,Zambia
10,2020-06-12,Zambia
10,2020-06-13,Zambia
11,2020-06-14,Zambia
11,2020-06-15,Zambia
11,2020-06-16,Zambia
11,2020-06-17,Zambia
11,2020-06-18,Zambia
11,2020-06-19,Zambia
11,2020-06-20,Zambia
11,2020-06-21,Zambia
11,2020-06-22,Zambia
18,2020-06-23,Zambia
18,2020-06-24,Zambia
18,2020-06-25,Zambia
21,2020-06-26,Zambia
21,2020-06-27,Zambia
22,2020-06-28,Zambia
22,2020-06-29,Zambia
24,2020-06-30,Zambia
30,2020-07-01,Zambia
30,2020-07-02,Zambia
30,2020-07-03,Zambia
30,2020-07-04,Zambia
30,2020-07-05,Zambia
30,2020-07-06,Zambia
42,2020-07-07,Zambia
42,2020-07-08,Zambia
42,2020-07-09,Zambia
42,2020-07-10,Zambia
42,2020-07-11,Zambia
42,2020-07-12,Zambia
42,2020-07-13,Zambia
42,2020-07-14,Zambia
42,2020-07-15,Zambia
42,2020-07-16,Zambia
109,2020-07-17,Zambia
120,2020-07-18,Zambia
120,2020-07-19,Zambia
128,2020-07-20,Zambia
128,2020-07-21,Zambia
128,2020-07-22,Zambia
134,2020-07-23,Zambia
136,2020-07-24,Zambia
139,2020-07-25,Zambia
139,2020-07-26,Zambia
140,2020-07-27,Zambia
142,2020-07-28,Zambia
146,2020-07-29,Zambia
149,2020-07-30,Zambia
151,2020-07-31,Zambia
165,2020-08-01,Zambia
170,2020-08-02,Zambia
171,2020-08-03,Zambia
173,2020-08-04,Zambia
176,2020-08-05,Zambia
199,2020-08-06,Zambia
200,2020-08-07,Zambia
203,2020-08-08,Zambia
235,2020-08-09,Zambia
241,2020-08-10,Zambia
241,2020-08-11,Zambia
246,2020-08-12,Zambia
246,2020-08-13,Zambia
256,2020-08-14,Zambia
260,2020-08-15,Zambia
260,2020-08-16,Zambia
264,2020-08-17,Zambia
264,2020-08-18,Zambia
269,2020-08-19,Zambia
274,2020-08-20,Zambia
277,2020-08-21,Zambia
279,2020-08-22,Zambia
280,2020-08-23,Zambia
280,2020-08-24,Zambia
282,2020-08-25,Zambia
282,2020-08-26,Zambia
282,2020-08-27,Zambia
283,2020-08-28,Zambia
284,2020-08-29,Zambia
287,2020-08-30,Zambia
288,2020-08-31,Zambia
290,2020-09-01,Zambia
292,2020-09-02,Zambia
292,2020-09-03,Zambia
292,2020-09-04,Zambia
292,2020-09-05,Zambia
295,2020-09-06,Zambia
295,2020-09-07,Zambia
297,2020-09-08,Zambia
300,2020-09-09,Zambia
300,2020-09-10,Zambia
306,2020-09-11,Zambia
312,2020-09-12,Zambia
312,2020-09-13,Zambia
320,2020-09-14,Zambia
324,2020-09-15,Zambia
326,2020-09-16,Zambia
326,2020-09-17,Zambia
329,2020-09-18,Zambia
330,2020-09-19,Zambia
330,2020-09-20,Zambia
331,2020-09-21,Zambia
331,2020-09-22,Zambia
332,2020-09-23,Zambia
332,2020-09-24,Zambia
332,2020-09-25,Zambia
332,2020-09-26,Zambia
332,2020-09-27,Zambia
332,2020-09-28,Zambia
332,2020-09-29,Zambia
332,2020-09-30,Zambia
333,2020-10-01,Zambia
333,2020-10-02,Zambia
333,2020-10-03,Zambia
333,2020-10-04,Zambia
334,2020-10-05,Zambia
335,2020-10-06,Zambia
335,2020-10-07,Zambia
335,2020-10-08,Zambia
336,2020-10-09,Zambia
337,2020-10-10,Zambia
337,2020-10-11,Zambia
345,2020-10-12,Zambia
345,2020-10-13,Zambia
345,2020-10-14,Zambia
346,2020-10-15,Zambia
346,2020-10-16,Zambia
346,2020-10-17,Zambia
346,2020-10-18,Zambia
346,2020-10-19,Zambia
346,2020-10-20,Zambia
346,2020-10-21,Zambia
346,2020-10-22,Zambia
346,2020-10-23,Zambia
348,2020-10-24,Zambia
348,2020-10-25,Zambia
348,2020-10-26,Zambia
348,2020-10-27,Zambia
348,2020-10-28,Zambia
348,2020-10-29,Zambia
349,2020-10-30,Zambia
349,2020-10-31,Zambia
349,2020-11-01,Zambia
349,2020-11-02,Zambia
349,2020-11-03,Zambia
349,2020-11-04,Zambia
349,2020-11-05,Zambia
349,2020-11-06,Zambia
349,2020-11-07,Zambia
349,2020-11-08,Zambia
349,2020-11-09,Zambia
350,2020-11-10,Zambia
350,2020-11-11,Zambia
350,2020-11-12,Zambia
350,2020-11-13,Zambia
350,2020-11-14,Zambia
353,2020-11-15,Zambia
353,2020-11-16,Zambia
353,2020-11-17,Zambia
356,2020-11-18,Zambia
356,2020-11-19,Zambia
356,2020-11-20,Zambia
356,2020-11-21,Zambia
357,2020-11-22,Zambia
357,2020-11-23,Zambia
357,2020-11-24,Zambia
357,2020-11-25,Zambia
357,2020-11-26,Zambia
357,2020-11-27,Zambia
357,2020-11-28,Zambia
357,2020-11-29,Zambia
357,2020-11-30,Zambia
357,2020-12-01,Zambia
357,2020-12-02,Zambia
357,2020-12-03,Zambia
364,2020-12-04,Zambia
364,2020-12-05,Zambia
364,2020-12-06,Zambia
364,2020-12-07,Zambia
364,2020-12-08,Zambia
364,2020-12-09,Zambia
364,2020-12-10,Zambia
365,2020-12-11,Zambia
366,2020-12-12,Zambia
367,2020-12-13,Zambia
367,2020-12-14,Zambia
368,2020-12-15,Zambia
369,2020-12-16,Zambia
369,2020-12-17,Zambia
373,2020-12-18,Zambia
373,2020-12-19,Zambia
373,2020-12-20,Zambia
375,2020-12-21,Zambia
379,2020-12-22,Zambia
380,2020-12-23,Zambia
381,2020-12-24,Zambia
381,2020-12-25,Zambia
382,2020-12-26,Zambia
383,2020-12-27,Zambia
384,2020-12-28,Zambia
385,2020-12-29,Zambia
386,2020-12-30,Zambia
388,2020-12-31,Zambia
390,2021-01-01,Zambia
392,2021-01-02,Zambia
394,2021-01-03,Zambia
398,2021-01-04,Zambia
412,2021-01-05,Zambia
417,2021-01-06,Zambia
423,2021-01-07,Zambia
441,2021-01-08,Zambia
464,2021-01-09,Zambia
469,2021-01-10,Zambia
471,2021-01-11,Zambia
495,2021-01-12,Zambia
509,2021-01-13,Zambia
514,2021-01-14,Zambia
527,2021-01-15,Zambia
537,2021-01-16,Zambia
546,2021-01-17,Zambia
559,2021-01-18,Zambia
578,2021-01-19,Zambia
585,2021-01-20,Zambia
597,2021-01-21,Zambia
610,2021-01-22,Zambia
627,2021-01-23,Zambia
639,2021-01-24,Zambia
660,2021-01-25,Zambia
672,2021-01-26,Zambia
688,2021-01-27,Zambia
705,2021-01-28,Zambia
728,2021-01-29,Zambia
745,2021-01-30,Zambia
763,2021-01-31,Zambia
780,2021-02-01,Zambia
794,2021-02-02,Zambia
804,2021-02-03,Zambia
812,2021-02-04,Zambia
828,2021-02-05,Zambia
839,2021-02-06,Zambia
853,2021-02-07,Zambia
869,2021-02-08,Zambia
881,2021-02-09,Zambia
901,2021-02-10,Zambia
914,2021-02-11,Zambia
931,2021-02-12,Zambia
940,2021-02-13,Zambia
951,2021-02-14,Zambia
959,2021-02-15,Zambia
974,2021-02-16,Zambia
983,2021-02-17,Zambia
991,2021-02-18,Zambia
1002,2021-02-19,Zambia
1016,2021-02-20,Zambia
1020,2021-02-21,Zambia
1031,2021-02-22,Zambia
1040,2021-02-23,Zambia
1051,2021-02-24,Zambia
1059,2021-02-25,Zambia
1066,2021-02-26,Zambia
1081,2021-02-27,Zambia
1091,2021-02-28,Zambia
1098,2021-03-01,Zambia
1104,2021-03-02,Zambia
1108,2021-03-03,Zambia
1109,2021-03-04,Zambia
1113,2021-03-05,Zambia
1116,2021-03-06,Zambia
1124,2021-03-07,Zambia
1132,2021-03-08,Zambia
1137,2021-03-09,Zambia
1140,2021-03-10,Zambia
1148,2021-03-11,Zambia
1149,2021-03-12,Zambia
1153,2021-03-13,Zambia
1158,2021-03-14,Zambia
1164,2021-03-15,Zambia
1167,2021-03-16,Zambia
1170,2021-03-17,Zambia
1175,2021-03-18,Zambia
1178,2021-03-19,Zambia
1178,2021-03-20,Zambia
1179,2021-03-21,Zambia
1182,2021-03-22,Zambia
1185,2021-03-23,Zambia
1187,2021-03-24,Zambia
1191,2021-03-25,Zambia
1194,2021-03-26,Zambia
1198,2021-03-27,Zambia
1200,2021-03-28,Zambia
1200,2021-03-29,Zambia
1202,2021-03-30,Zambia
1208,2021-03-31,Zambia
1212,2021-04-01,Zambia
1215,2021-04-02,Zambia
1215,2021-04-03,Zambia
1220,2021-04-04,Zambia
1222,2021-04-05,Zambia
1224,2021-04-06,Zambia
1224,2021-04-07,Zambia
1225,2021-04-08,Zambia
1226,2021-04-09,Zambia
1226,2021-04-10,Zambia
1226,2021-04-11,Zambia
1227,2021-04-12,Zambia
1229,2021-04-13,Zambia
1229,2021-04-14,Zambia
1230,2021-04-15,Zambia
1233,2021-04-16,Zambia
1234,2021-04-17,Zambia
1235,2021-04-18,Zambia
1236,2021-04-19,Zambia
1236,2021-04-20,Zambia
1238,2021-04-21,Zambia
1240,2021-04-22,Zambia
1245,2021-04-23,Zambia
1245,2021-04-24,Zambia
1246,2021-04-25,Zambia
1248,2021-04-26,Zambia
1249,2021-04-27,Zambia
1249,2021-04-28,Zambia
1250,2021-04-29,Zambia
1251,2021-04-30,Zambia
1251,2021-05-01,Zambia
1253,2021-05-02,Zambia
1253,2021-05-03,Zambia
1254,2021-05-04,Zambia
1255,2021-05-05,Zambia
1256,2021-05-06,Zambia
1256,2021-05-07,Zambia
1257,2021-05-08,Zambia
1257,2021-05-09,Zambia
1257,2021-05-10,Zambia
1258,2021-05-11,Zambia
1259,2021-05-12,Zambia
