Deaths,CreationDate,Name
1,2020-03-23,Zimbabwe
1,2020-03-24,Zimbabwe
1,2020-03-25,Zimbabwe
1,2020-03-26,Zimbabwe
1,2020-03-27,Zimbabwe
1,2020-03-28,Zimbabwe
1,2020-03-29,Zimbabwe
1,2020-03-30,Zimbabwe
1,2020-03-31,Zimbabwe
1,2020-04-01,Zimbabwe
1,2020-04-02,Zimbabwe
1,2020-04-03,Zimbabwe
1,2020-04-04,Zimbabwe
1,2020-04-05,Zimbabwe
1,2020-04-06,Zimbabwe
2,2020-04-07,Zimbabwe
3,2020-04-08,Zimbabwe
3,2020-04-09,Zimbabwe
3,2020-04-10,Zimbabwe
3,2020-04-11,Zimbabwe
3,2020-04-12,Zimbabwe
3,2020-04-13,Zimbabwe
3,2020-04-14,Zimbabwe
3,2020-04-15,Zimbabwe
3,2020-04-16,Zimbabwe
3,2020-04-17,Zimbabwe
3,2020-04-18,Zimbabwe
3,2020-04-19,Zimbabwe
3,2020-04-20,Zimbabwe
3,2020-04-21,Zimbabwe
4,2020-04-22,Zimbabwe
4,2020-04-23,Zimbabwe
4,2020-04-24,Zimbabwe
4,2020-04-25,Zimbabwe
4,2020-04-26,Zimbabwe
4,2020-04-27,Zimbabwe
4,2020-04-28,Zimbabwe
4,2020-04-29,Zimbabwe
4,2020-04-30,Zimbabwe
4,2020-05-01,Zimbabwe
4,2020-05-02,Zimbabwe
4,2020-05-03,Zimbabwe
4,2020-05-04,Zimbabwe
4,2020-05-05,Zimbabwe
4,2020-05-06,Zimbabwe
4,2020-05-07,Zimbabwe
4,2020-05-08,Zimbabwe
4,2020-05-09,Zimbabwe
4,2020-05-10,Zimbabwe
4,2020-05-11,Zimbabwe
4,2020-05-12,Zimbabwe
4,2020-05-13,Zimbabwe
4,2020-05-14,Zimbabwe
4,2020-05-15,Zimbabwe
4,2020-05-16,Zimbabwe
4,2020-05-17,Zimbabwe
4,2020-05-18,Zimbabwe
4,2020-05-19,Zimbabwe
4,2020-05-20,Zimbabwe
4,2020-05-21,Zimbabwe
4,2020-05-22,Zimbabwe
4,2020-05-23,Zimbabwe
4,2020-05-24,Zimbabwe
4,2020-05-25,Zimbabwe
4,2020-05-26,Zimbabwe
4,2020-05-27,Zimbabwe
4,2020-05-28,Zimbabwe
4,2020-05-29,Zimbabwe
4,2020-05-30,Zimbabwe
4,2020-05-31,Zimbabwe
4,2020-06-01,Zimbabwe
4,2020-06-02,Zimbabwe
4,2020-06-03,Zimbabwe
4,2020-06-04,Zimbabwe
4,2020-06-05,Zimbabwe
4,2020-06-06,Zimbabwe
4,2020-06-07,Zimbabwe
4,2020-06-08,Zimbabwe
4,2020-06-09,Zimbabwe
4,2020-06-10,Zimbabwe
4,2020-06-11,Zimbabwe
4,2020-06-12,Zimbabwe
4,2020-06-13,Zimbabwe
4,2020-06-14,Zimbabwe
4,2020-06-15,Zimbabwe
4,2020-06-16,Zimbabwe
4,2020-06-17,Zimbabwe
4,2020-06-18,Zimbabwe
4,2020-06-19,Zimbabwe
4,2020-06-20,Zimbabwe
6,2020-06-21,Zimbabwe
6,2020-06-22,Zimbabwe
6,2020-06-23,Zimbabwe
6,2020-06-24,Zimbabwe
6,2020-06-25,Zimbabwe
6,2020-06-26,Zimbabwe
6,2020-06-27,Zimbabwe
6,2020-06-28,Zimbabwe
7,2020-06-29,Zimbabwe
7,2020-06-30,Zimbabwe
7,2020-07-01,Zimbabwe
7,2020-07-02,Zimbabwe
7,2020-07-03,Zimbabwe
8,2020-07-04,Zimbabwe
8,2020-07-05,Zimbabwe
9,2020-07-06,Zimbabwe
9,2020-07-07,Zimbabwe
9,2020-07-08,Zimbabwe
9,2020-07-09,Zimbabwe
13,2020-07-10,Zimbabwe
18,2020-07-11,Zimbabwe
18,2020-07-12,Zimbabwe
19,2020-07-13,Zimbabwe
20,2020-07-14,Zimbabwe
20,2020-07-15,Zimbabwe
23,2020-07-16,Zimbabwe
24,2020-07-17,Zimbabwe
25,2020-07-18,Zimbabwe
25,2020-07-19,Zimbabwe
26,2020-07-20,Zimbabwe
26,2020-07-21,Zimbabwe
26,2020-07-22,Zimbabwe
28,2020-07-23,Zimbabwe
32,2020-07-24,Zimbabwe
34,2020-07-25,Zimbabwe
34,2020-07-26,Zimbabwe
36,2020-07-27,Zimbabwe
